ID,Name in English,Name in French,Name in Spanish,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment
1444,!Gan!ne,!gan!ne,!gan!ne,South Africa,ZAF,kqu,Extinct
78,'Ongota,ongota,birale,Ethiopia,ETH,bxe,Critically endangered
1882,A'ingae / Cofan (Colombia),cofán (Colombie),cofán (Colombia),Colombia,COL,con,Severely endangered
1835,A'ingae / Cofan (Ecuador),a’ingae (Équateur),cofán (Ecuador),Ecuador,ECU,con,Definitely endangered
1177,A'tong,a'tong,atong,India,IND,aot,Severely endangered
116,Aasax,aasax,aasáx,United Republic of Tanzania,TZA,aas,Extinct
2655,Abaga,abaga,abaga,Papua New Guinea,PNG,abg,Critically endangered
2264,Abai Sungai,abai sungai,abai sungai,Malaysia,MYS,abf,Definitely endangered
1077,Abaza,abaza,abaza,"Russian Federation, Turkey","RUS, TUR",abq,Definitely endangered
1076,Abkhaz,abkhaze,abjaso,"Georgia, Russian Federation, Turkey","GEO, RUS, TUR",abk,Vulnerable
1270,Acatepec Mazatec,mazatèque d'Acatepec,mazateco de Acatepec,Mexico,MEX,,Vulnerable
284,Achagua,achagua,achagua,Colombia,COL,aca,Severely endangered
2186,Aché,aché,aché,Paraguay,PRY,guq,Definitely endangered
1713,Acheron,acheron,acheron,Sudan,SDN,acz,Severely endangered
1777,Achi',achi',achí,Guatemala,GTM,acr,Vulnerable
566,Achuar,achuar chicham,achuar chicham,"Ecuador, Peru","ECU, PER",acu,Definitely endangered
829,Achumawi,achumawi,achumawi,United States of America,USA,acv,Critically endangered
878,Acoma-Laguna,acoma-laguna,queresano occidental,United States of America,USA,kjq,Definitely endangered
2580,Adabe,adabe,adabe,Timor-Leste,TLS,adb,Vulnerable
981,Adi,adi,adi,"China, India","CHN, IND",adi,Vulnerable
164,Adnyamathanha,adnymathanta,adiñamantana,Australia,AUS,adt,Definitely endangered
1064,Adyge,adyguéen,adiga,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey","IRQ, ISR, JOR, MKD, RUS, SYR, TUR",ady,Vulnerable
1689,Afitti,afitti,afitti,Sudan,SDN,aft,Severely endangered
1035,Agul,agul,agul,Russian Federation,RUS,agx,Definitely endangered
546,Aheu,aheu,phon sung,Lao People's Democratic Republic,LAO,thm,Definitely endangered
429,Ahom,ahom,ahom,India,IND,aho,Extinct
144,Ahtna,ahtna,atna,United States of America,USA,aht,Critically endangered
2023,Aikana,aikaná,aikaná,Brazil,BRA,tba,Definitely endangered
511,Aimol,aimol,aimol,India,IND,aim,Critically endangered
