index	longitude	latitude	language_diversity	mgs	land_coverage	weighted_endemism	ID_ISO_A2	LANG_ISO	new.mgs
1	1	-19536570.6342195	5796538.7487921	4	1	0.11	2.7	ckt-ru ess-us ynk-ru ess-ru	ckt ess ynk ess	46
2	2	-18534695.21708	5796538.7487921	6	3	0.13	2.2	ckt-ru esu-us esk-us esi-us ess-us ale-us	ckt esu esk esi ess ale	103
3	3	-17532819.7999406	5796538.7487921	9	3	0.57	5.5	esu-us esk-us esi-us koy-us ems-us kuu-us ing-us ale-us hoi-us	esu esk esi koy ems kuu ing ale hoi	119
4	4	-16530944.3828011	5796538.7487921	9	3	0.46	5.30882352941176	eng-us esi-us koy-us ems-us aht-us gwi-us tfn-us taa-us tcb-us	eng esi koy ems aht gwi tfn taa tcb	114
5	5	-15529068.9656617	5796538.7487921	14	3	0.49	8.75	esi-us aht-us tli-us haa-us tcb-us tce-ca ttm-ca gwi-ca tau-us tli-ca haa-ca esi-ca tau-ca	esi aht tli haa tcb tce ttm gwi tau tli haa esi tau	105
6	6	-14527193.5485222	5796538.7487921	12	3	0.68	5.80882352941176	eng-us eng-ca tli-us ikt-ca kkz-ca tce-ca gwi-ca scs-ca tli-ca tht-ca esi-ca tgx-ca	eng eng tli ikt kkz tce gwi scs tli tht esi tgx	100
7	7	-13525318.1313827	5796538.7487921	9	3	0.75	3.22619047619048	eng-ca crk-ca bea-ca xsl-ca ikt-ca kkz-ca sek-ca dgr-ca scs-ca	eng crk bea xsl ikt kkz sek dgr scs	103
8	8	-12523442.7142433	5796538.7487921	7	3	0.86	1.92619047619048	eng-ca crk-ca chp-ca bea-ca xsl-ca ikt-ca dgr-ca	eng crk chp bea xsl ikt dgr	83
9	9	-11521567.2971038	5796538.7487921	4	2	0.79	0.709523809523809	crk-ca chp-ca ikt-ca cwd-ca	crk chp ikt cwd	81
10	10	-10519691.8799644	5796538.7487921	5	2	0.72	0.766666666666667	chp-ca csw-ca ikt-ca cwd-ca	chp csw ikt cwd	57
11	11	-9517816.46282489	5796538.7487921	2	1	0.4	0.366666666666667	csw-ca ikt-ca	csw ikt	30
12	12	-8515941.04568543	5796538.7487921	2	1	0.46	0.2	ike-ca	ike	33
13	13	-7514065.62854596	5796538.7487921	1	0	0.53	0.2	ike-ca	ike	20
14	14	-6512190.2114065	5796538.7487921	2	0	0.19	0.45	kal-gl ike-ca	kal ike	0
15	15	-5510314.79426704	5796538.7487921	1	0	0.63	0.25	kal-gl	kal	0
16	16	-4508439.37712758	5796538.7487921	0	0	0.6	0.25	kal-gl	kal	0
17	17	-3506563.95998811	5796538.7487921	0	0	0.42	0	NA	NA	0
18	18	-2504688.54284865	5796538.7487921	2	0	0.29	0.75	isl-is kal-gl	isl kal	0
19	19	-1502813.12570919	5796538.7487921	1	2	0.04	0.5	isl-is	isl	40.5
20	20	-500937.708569728	5796538.7487921	4	6	0.05	2.33333333333333	eng-gb sco-gb gla-gb fao-fo	eng sco gla fao	220
21	21	500937.708569735	5796538.7487921	2	4	0.13	0.5	nor-no dan-dk	nor dan	157
22	22	1502813.1257092	5796538.7487921	10	5	0.46	6.16666666666667	swe-se nor-no dan-dk sme-no sma-se sje-no sju-se sje-se smj-no sma-no	swe nor dan sme sma sje sju sje smj sma	147
23	23	2504688.54284866	5796538.7487921	18	5	0.6	11.1666666666667	swe-se nor-no fin-fi lit-lt lav-lv est-ee fit-se swe-fi smn-fi fit-fi sme-no sme-fi fkv-no liv-lv sju-se sje-se smj-se sme-se	swe nor fin lit lav est fit swe smn fit sme sme fkv liv sju sje smj sme	135
24	24	3506563.95998812	5796538.7487921	21	5	0.66	14.3703703703704	rus-ru nor-no fin-fi krl-ru lav-lv sjd-ru est-ee sms-ru sjt-ru fin-ru izh-ru olo-ru smn-fi sme-no lud-ru vep-ru sms-fi sme-fi fkv-no krl-fi vot-ru	rus nor fin krl lav sjd est sms sjt fin izh olo smn sme lud vep sms sme fkv krl vot	152
25	25	4508439.37712758	5796538.7487921	3	5	0.56	1.2037037037037	rus-ru yrk-ru sjd-ru sjt-ru	rus yrk sjd sjt	155
