new_name,category,collection_type,variable_name,old_name,transformation_name,variable,suggested_variable_name,Description,Source,Collector,Checked by,Notes
id_ISO_lang,Identifier,Language Based,ISO,LANG_ISO,identity,ISO,NA,ISO 693-3 code for the language (https://en.wikipedia.org/wiki/ISO_639-3),WLMS (World Language Mapping System),HS,RD,NA
id_name_lang,Identifier,Language Based,name,name,identity,NA,NA,NA,NA,NA,NA,NA
lang_continent_lang,Language,Language Based,continent,continent,identity,Continent,continent,"""Africa"", ""Oceania"", ""Europe"", ""Asia"", ""North America"" or ""South America"". Original data also included ""Antarctica"", and ""Seven Seas"", but no languages in our dataset occurred in these areas (see map).",naturalearthdata.com,RD,RD,"A map of the continent definitions can be found in the dropbox, called ""Continent_map_for_language_endangerment.pdf""."
lang_subregion_lang,Language,Language Based,subregion,subregion,identity,Subregion,subregion,The subregion from Natural Earth. Could be useful for subdividing Oceania,naturalearthdata.com,RD,RD,NA
lang_island_lang,Language,Language Based,island,island,identity,Island,island,Whether the language is primarily found on islands,naturalearthdata.com,RD,RD,NA
response_AES_lang,Response,Language Based,AES,AES,identity,NA,NA,NA,NA,NA,NA,NA
response_EGIDS_lang,Response,Language Based,EGIDS,EGIDS,identity,Status,EGIDS,"EGIDS scale of language endangerment. Original Levels = ""1"", ""2"", ""3"", ""4"", ""5"", ""6a"", ""6b"", ""7"", ""8a"", ""8b"", ""9"", ""10"".",Lewis and Simons 2010),HS,RD,7 levels used in main analysis
soceco_GDP.2010USD.10yr.median_country,Socioeconomic,Polygon-aggregated Nation Based,GDP.2010USD.10yr.median,GDP_2010USD_10yr_median,log,Gross Domestic Product,GDP,Absolute national Gross Domestic Product (GDP) in constant 2010 US Dollars. A ten-year median from 2005-2015. An overlapping area weighted average of this over the language's polygon.,"{The World Bank, 2019 #4567}.",AR,AMR,See Supplementary Table SX1-2 for full details
lang_L1.POP_lang,Language,Language Based,L1.POP,L1_POP,log,L1 speaker population size,L1_pop,L1 Speaker Population Size,Glottolog,SG,RD,NA
soceco_Gini.SWIID.10yr.median_country,Socioeconomic,Polygon-aggregated Nation Based,Gini.SWIID.10yr.median,Gini_SWIID_10yr_median,square,GINI,GINI,"Gini index of income inequality within each country, from the Standardised World Income Inequality Database. A ten-year median was calculated from 2005 -2015. An overlapping area weighted average of this over the language's polygon / s.","SWIID {Solt, 2019 #4566}.",AR,AMR,See Supplementary Table SX1-2 for full details
edu_Ed.spending.pcGDP.10yr.median_country,Education,Polygon-aggregated Nation Based,Ed.spending.pcGDP.10yr.median,Ed_spending_pcGDP_10yr_median,square root,% spending on Education,Education_Spending,Government spending on education as a percentage of national GDP. A ten-year median was calculated from 2005-2015. A ten-year median was calculated from 2005-2015. An overlapping area weighted average of this over the language's polygon.,"{The World Bank, 2019 #4567}.",AR,AMR,See Supplementary Table SX1-2 for full details
edu_Mean.yr.school.10yr.median_country,Education,Polygon-aggregated Nation Based,Mean.yr.school.10yr.median,Mean_yr_school_10yr_median,square root,Average years of schooling,Schooling,"Mean years of schooling, obtained from the United Nations Human Development Report database and the Barro-Lee Educational Attainment Dataset. Estimates are from the year 2010. An overlapping area weighted average of this over the language's polygon.","{United Nations Development Programme, 2018 #4569} {Barro, 2013 #4568}",AR,AMR,See Supplementary Table SX1-2 for full details
soceco_Life.exp.birth.10yr.median_country,Socioeconomic,Polygon-aggregated Nation Based,Life.exp.birth.10yr.median,Life_exp_birth_10yr_median,square,Life expectancy at Birth,Life_Expectancy,Life expectancy at birth available from the World Bank Databank.  A ten-year median was calculated from 2010-2015.,"{The World Bank, 2019 #4567}.",AR,AMR,See Supplementary Table SX1-2 for full details
soceco_Life.exp.sixty.average_country,Socioeconomic,Polygon-aggregated Nation Based,Life.exp.sixty.average,Life_exp_sixty_average,log,Life Expectancy at age 60,Life_Expectancy@60,Calculated as a population-weighted average of male and female life expectancy at age 60-65. All values are from the year 2012.,"{The World Bank, 2019 #4567}.",AR,AMR,See Supplementary Table SX1-2 for full details
landuse_urban.change_country,Land Use,Polygon-aggregated Nation Based,urban.change,urban_change,signed square root,Increase in urbanisation,urban_change,Total change in the percentage of the population living in urban areas from 1960 to 2018 (in percentage points). An overlapping area weighted average of this over the language's polygon.,"{The World Bank, 2018 #4571}.",AR,AMR,NA
worldlang_world.language.as.official_country,World Language,Polygon-aggregated Nation Based,world.language.as.official,world_language_as_official,identity,Any World Language,NA,NA,NA,NA,NA,NA
edu_minority.education.policy_country,Education,Polygon-aggregated Nation Based,minority.education.policy,minority_education_policy,identity,Policy affirming minority language education policy,Minority_education,"Presence or absence, per country, of a general legal provision for the use of minority languages as media of instruction in at least a portion of formal or compulsory schooling. An overlapping area weighted average over the language's polygon.","{L’aménagement linguistique dans le monde`; \Leclerc, 2019 #8",AR,AMR,Full list of laws & example scoring in Supplementary Information Table SL1 and SL2
worldlang_Arabic_country,World Language,Polygon-aggregated Nation Based,Arabic,world_language_Arabic,identity,Arabic,NA,NA,NA,LB,NA,NA
worldlang_Bahasa_country,World Language,Polygon-aggregated Nation Based,Bahasa,world_language_Bahasa,identity,Malay (inc. Indonesian),NA,NA,NA,LB,NA,NA
worldlang_English_country,World Language,Polygon-aggregated Nation Based,English,world_language_English,identity,English,NA,NA,NA,LB,NA,NA
worldlang_French_country,World Language,Polygon-aggregated Nation Based,French,world_language_French,identity,French,NA,NA,NA,LB,NA,NA
worldlang_Hindustani_country,World Language,Polygon-aggregated Nation Based,Hindustani,world_language_Hindustani,identity,Hindustani (Hindi+Urdu),NA,NA,NA,LB,NA,NA
worldlang_Mandarin_country,World Language,Polygon-aggregated Nation Based,Mandarin,world_language_Mandarin,identity,Mandarin,NA,NA,NA,LB,NA,NA
worldlang_Portuguese_country,World Language,Polygon-aggregated Nation Based,Portuguese,world_language_Portuguese,identity,Portuguese,NA,NA,NA,LB,NA,NA
worldlang_Russian_country,World Language,Polygon-aggregated Nation Based,Russian,world_language_Russian,identity,Russian,NA,NA,NA,LB,NA,NA
worldlang_Spanish_country,World Language,Polygon-aggregated Nation Based,Spanish,world_language_Spanish,identity,Spanish,NA,NA,NA,LB,NA,NA
