index	longitudes	latitudes	land_coverage	LANG_ISO	ID_ISO_A2	weighted_endemism	language_diversity	vegetation_productivity	mgs	new.mgs
89	89	-2304313.45942076	6223882.06725746	0.76	NA	NA	0	0	66.9414629006723	0	0
90	90	-2103938.37599287	6223882.06725746	0.28	NA	NA	0	0	50.9705424380187	0	0
91	91	-1903563.29256497	6223882.06725746	0.17	NA	NA	0	0	44.8395753767812	NA	0
92	92	-1703188.20913708	6223882.06725746	0.1	NA	NA	0	0	44.3399446313402	NA	6
93	93	-1502813.12570919	6223882.06725746	0.1	NA	NA	0	0	30.1160984025	NA	0
94	94	-1302438.0422813	6223882.06725746	0	NA	NA	0	0	9.53445968549986	NA	0
95	95	-1102062.9588534	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
96	96	-901687.875425514	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
97	97	-701312.791997619	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
98	98	-500937.708569728	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
99	99	-300562.625141837	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
100	100	-100187.541713942	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
101	101	100187.541713949	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
102	102	300562.62514184	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
103	103	500937.708569735	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
104	104	701312.791997626	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
105	105	901687.875425521	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
106	106	1102062.95885341	6223882.06725746	0.01	NA	NA	0	0	NA	NA	11.5
107	107	1302438.0422813	6223882.06725746	0.12	NA	NA	0	0	79.3702121725	NA	0
108	108	1502813.1257092	6223882.06725746	0.21	NA	NA	0	0	82.830474855	0	0
109	109	1703188.20913709	6223882.06725746	0.32	NA	NA	0	0	82.5905487149388	0	0
110	110	1903563.29256498	6223882.06725746	0.28	NA	NA	0	0	70.7042702745401	0	0
111	111	2103938.37599288	6223882.06725746	0.22	NA	NA	0	0	67.7111513436023	0	0
112	112	2304313.45942077	6223882.06725746	0.11	NA	NA	0	0	63.5232207857825	0	0
113	113	2504688.54284866	6223882.06725746	0.16	NA	NA	0	0	70.74811649	0	0
114	114	2705063.62627655	6223882.06725746	0.1	NA	NA	0	0	65.740919279863	0	0
115	115	2905438.70970444	6223882.06725746	0.01	NA	NA	0	0	51.5741865445206	NA	0
116	116	3105813.79313234	6223882.06725746	0	NA	NA	0	0	24.2949266439997	NA	0
117	117	3306188.87656023	6223882.06725746	0	NA	NA	0	0	7.791119384	NA	0
118	118	3506563.95998812	6223882.06725746	0	NA	NA	0	0	22.5338802325	NA	0
119	119	3706939.04341602	6223882.06725746	0	NA	NA	0	0	28.92592621	NA	0
120	120	3907314.12684391	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
121	121	4107689.2102718	6223882.06725746	0	NA	NA	0	0	1	NA	0
122	122	4308064.29369969	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
123	123	4508439.37712758	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
124	124	4708814.46055548	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
125	125	4909189.54398337	6223882.06725746	0	NA	NA	0	0	52.60185242	NA	0
126	126	5109564.62741126	6223882.06725746	0	NA	NA	0	0	54.124421885	NA	0
127	127	5309939.71083915	6223882.06725746	0.1	NA	NA	0	0	55.5672090535	NA	0
128	128	5510314.79426705	6223882.06725746	0.06	NA	NA	0	0	50.1842871670026	NA	0
129	129	5710689.87769494	6223882.06725746	0	NA	NA	0	0	35.1801409469102	NA	0
130	130	5911064.96112283	6223882.06725746	0	NA	NA	0	0	28.8750841499673	NA	0
131	131	6111440.04455072	6223882.06725746	0	NA	NA	0	0	36.2507907771856	NA	0
132	132	6311815.12797862	6223882.06725746	0.16	NA	NA	0	0	55.5738431674928	NA	0
133	133	6512190.21140651	6223882.06725746	0.2	NA	NA	0	0	46.332947114951	NA	0
134	134	6712565.2948344	6223882.06725746	0.17	NA	NA	0	0	53.1891442466071	NA	0
135	135	6912940.37826229	6223882.06725746	0.13	NA	NA	0	0	47.0875670116923	NA	0
136	136	7113315.46169019	6223882.06725746	0.1	NA	NA	0	0	48.178216290643	NA	0
137	137	7313690.54511808	6223882.06725746	0.13	NA	NA	0	0	68.4765176778234	NA	0
138	138	7514065.62854597	6223882.06725746	0.1	NA	NA	0	0	82.3569827151415	NA	0
139	139	7714440.71197386	6223882.06725746	0	NA	NA	0	0	88.7184764347637	NA	0
140	140	7914815.79540176	6223882.06725746	0	NA	NA	0	0	106.790413695	NA	NA
141	141	8115190.87882965	6223882.06725746	0	NA	NA	0	0	101.380484805	NA	NA
142	142	8315565.96225754	6223882.06725746	0	NA	NA	0	0	95.6159698555	NA	NA
143	143	8515941.04568543	6223882.06725746	0	NA	NA	0	0	89.5953407275	NA	NA
144	144	8716316.12911333	6223882.06725746	0	NA	NA	0	0	60.7993888142623	NA	0
145	145	8916691.21254122	6223882.06725746	0	NA	NA	0	0	61.7911219372003	NA	0
146	146	9117066.29596911	6223882.06725746	0	NA	NA	0	0	83.9901737117878	NA	0
147	147	9317441.379397	6223882.06725746	0	NA	NA	0	0	93.2888771069999	NA	34
148	148	9517816.4628249	6223882.06725746	0.01	NA	NA	0	0	92.52155877	NA	37
149	149	9718191.54625279	6223882.06725746	0.1	NA	NA	0	0	92.0990346228907	NA	40
150	150	9918566.62968068	6223882.06725746	0.16	NA	NA	0	0	32.0287312636966	NA	39
151	151	10118941.7131086	6223882.06725746	0.22	NA	NA	0	0	34.1719050633748	NA	36
152	152	10319316.7965365	6223882.06725746	0.33	NA	NA	0	0	55.3123007672502	NA	26
153	153	10519691.8799644	6223882.06725746	0.5	NA	NA	0	0	63.237231124269	NA	20
154	154	10720066.9633923	6223882.06725746	0.46	NA	NA	0	0	65.2041931305864	NA	20
155	155	10920442.0468201	6223882.06725746	0.48	NA	NA	0	0	69.0200611908156	NA	28
156	156	11120817.130248	6223882.06725746	0.39	NA	NA	0	0	72.5597264966781	0	33
157	157	11321192.2136759	6223882.06725746	0.49	NA	NA	0	0	78.1367823677405	NA	16
158	158	11521567.2971038	6223882.06725746	0.54	NA	NA	0	0	86.8058425225862	NA	0
159	159	11721942.3805317	6223882.06725746	0.47	NA	NA	0	0	82.3351382387933	NA	0
160	160	11922317.4639596	6223882.06725746	0.35	NA	NA	0	0	61.1670175217118	0	0
161	161	12122692.5473875	6223882.06725746	0.3	NA	NA	0	0	81.502417963467	NA	18
162	162	12323067.6308154	6223882.06725746	0.25	NA	NA	0	0	93.4386763442167	NA	35
163	163	12523442.7142433	6223882.06725746	0.2	NA	NA	0	0	57.1946803567697	NA	53
164	164	12723817.7976712	6223882.06725746	0.04	NA	NA	0	0	87.9204140052096	NA	58
165	165	12924192.8810991	6223882.06725746	0	NA	NA	0	0	111.718123225	NA	NA
166	166	13124567.964527	6223882.06725746	0	NA	NA	0	0	111.106377025	NA	NA
167	167	13324943.0479549	6223882.06725746	0	NA	NA	0	0	110.8814564	NA	NA
168	168	13525318.1313827	6223882.06725746	0	NA	NA	0	0	110.087686575	NA	NA
169	169	13725693.2148106	6223882.06725746	0	NA	NA	0	0	103.24842609	NA	NA
170	170	13926068.2982385	6223882.06725746	0	NA	NA	0	0	107.394943665	NA	NA
171	171	14126443.3816664	6223882.06725746	0	NA	NA	0	0	109.242164235	NA	NA
172	172	14326818.4650943	6223882.06725746	0	NA	NA	0	0	106.59596444	NA	NA
173	173	14527193.5485222	6223882.06725746	0	NA	NA	0	0	62.9739017525005	NA	NA
174	174	14727568.6319501	6223882.06725746	0	NA	NA	0	0	74.7171218899997	NA	NA
175	175	14927943.715378	6223882.06725746	0	NA	NA	0	0	82.3535152435001	NA	NA
176	176	15128318.7988059	6223882.06725746	0	NA	NA	0	0	81.7395236965002	NA	0
177	177	15328693.8822338	6223882.06725746	0.13	NA	NA	0	0	85.1710041055	NA	0
178	178	15529068.9656617	6223882.06725746	0.2	NA	NA	0	0	84.1489486675	NA	0
179	179	15729444.0490896	6223882.06725746	0.19	NA	NA	0	0	94.4675037369999	NA	0
180	180	15929819.1325175	6223882.06725746	0.1	NA	NA	0	0	99.7958164234999	NA	0
181	181	16130194.2159453	6223882.06725746	0.04	NA	NA	0	0	107.6852703065	NA	0
182	182	16330569.2993732	6223882.06725746	0.08	NA	NA	0	0	101.085905072	NA	0
183	183	16530944.3828011	6223882.06725746	0.06	NA	NA	0	0	51.2948664863734	NA	0
184	184	16731319.466229	6223882.06725746	0	NA	NA	0	0	75.1123768799742	NA	0
185	185	16931694.5496569	6223882.06725746	0	NA	NA	0	0	44.043008806	NA	0
186	186	17132069.6330848	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
187	187	17332444.7165127	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
188	188	17532819.7999406	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
189	189	17733194.8833685	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
190	190	17933569.9667964	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
191	191	18133945.0502243	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
192	192	18334320.1336522	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
193	193	18534695.2170801	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
194	194	18735070.300508	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
195	195	18935445.3839358	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
196	196	19135820.4673637	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
197	197	19336195.5507916	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
198	198	19536570.6342195	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
199	199	19736945.7176474	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
200	200	19937320.8010753	6223882.06725746	0	NA	NA	0	0	NA	NA	NA
201	201	-19937320.8010753	6022779.32915611	0.18	NA	NA	0	0	101.694323580282	0	0
202	202	-19736945.7176474	6022779.32915611	0	NA	NA	0	0	51.1645123219708	0	0
203	203	-19536570.6342195	6022779.32915611	0	NA	NA	0	0	29.0848939791875	NA	0
204	204	-19336195.5507916	6022779.32915611	0	NA	NA	0	0	77.7464164021914	NA	NA
205	205	-19135820.4673637	6022779.32915611	0	NA	NA	0	0	NA	NA	NA
206	206	-18935445.3839358	6022779.32915611	0	NA	NA	0	0	NA	NA	NA
207	207	-18735070.3005079	6022779.32915611	0	NA	NA	0	0	NA	NA	NA
208	208	-18534695.21708	6022779.32915611	0.03	NA	NA	0	0	108.422390025	NA	62.5
209	209	-18334320.1336522	6022779.32915611	0.1	esi	esi-us	0.0625	1	115.64815182	NA	72
210	210	-18133945.0502243	6022779.32915611	0.22	esi	esi-us	0.0625	1	117.356103945	NA	71
211	211	-17933569.9667964	6022779.32915611	0.36	esi	esi-us	0.0625	1	118.039350555	NA	66
212	212	-17733194.8833685	6022779.32915611	0.4	esi	esi-us	0.0625	1	116.709326945	NA	58
213	213	-17532819.7999406	6022779.32915611	0.46	esi	esi-us	0.0625	1	99.7653049747284	NA	57
214	214	-17332444.7165127	6022779.32915611	0.5	esi	esi-us	0.0625	1	77.3453745922126	0	66.5
215	215	-17132069.6330848	6022779.32915611	0.4	esi	esi-us	0.0625	1	93.7098364220051	NA	83
216	216	-16931694.5496569	6022779.32915611	0.4	esi	esi-us	0.0625	1	115.282333745	NA	93
217	217	-16731319.466229	6022779.32915611	0.4	esi	esi-us	0.0625	1	115.72393991	NA	95
218	218	-16530944.3828011	6022779.32915611	0.33	esi	esi-us	0.0625	1	115.3588848	NA	89
219	219	-16330569.2993732	6022779.32915611	0.3	esi	esi-us	0.0625	1	117.42617529	NA	65
220	220	-16130194.2159453	6022779.32915611	0.3	esi	esi-us	0.0625	1	119.997161465	NA	0
221	221	-15929819.1325174	6022779.32915611	0.3	esi	esi-us	0.0625	1	119.864220035	NA	4
222	222	-15729444.0490896	6022779.32915611	0.2	NA	NA	0	1	121.64036747	NA	46
223	223	-15529068.9656617	6022779.32915611	0.19	NA	NA	0	0	119.6112785	NA	72
224	224	-15328693.8822338	6022779.32915611	0.1	NA	NA	0	0	118.81288301	NA	86
225	225	-15128318.7988059	6022779.32915611	0.12	NA	NA	0	0	117.302352145	NA	94
226	226	-14927943.715378	6022779.32915611	0.2	ikt	ikt-ca	0.0588235294117647	1	117.868312825	NA	93
227	227	-14727568.6319501	6022779.32915611	0.21	ikt	ikt-ca	0.0588235294117647	1	120.00959739	NA	82
228	228	-14527193.5485222	6022779.32915611	0.3	NA	NA	0	0	119.01938245	NA	64
229	229	-14326818.4650943	6022779.32915611	0.29	NA	NA	0	0	115.99312516	NA	61
230	230	-14126443.3816664	6022779.32915611	0.28	NA	NA	0	0	113.290835875982	NA	73
231	231	-13926068.2982385	6022779.32915611	0.39	NA	NA	0	0	99.7355520436682	NA	59
232	232	-13725693.2148106	6022779.32915611	0.72	ikt	ikt-ca	0.0588235294117647	1	100.834481376651	0	23
233	233	-13525318.1313827	6022779.32915611	0.7	NA	NA	0	0	96.3290574135566	NA	26
234	234	-13324943.0479548	6022779.32915611	0.5	NA	NA	0	0	91.4281567043372	NA	27
235	235	-13124567.964527	6022779.32915611	0.63	NA	NA	0	0	91.3937179163928	1	35
236	236	-12924192.8810991	6022779.32915611	0.69	NA	NA	0	0	91.7357046467943	0	31
237	237	-12723817.7976712	6022779.32915611	0.62	NA	NA	0	0	89.1563846221605	0	27
238	238	-12523442.7142433	6022779.32915611	0.76	NA	NA	0	0	87.0929834291133	0	33
239	239	-12323067.6308154	6022779.32915611	0.74	NA	NA	0	0	88.0201248903187	0	41
240	240	-12122692.5473875	6022779.32915611	0.69	NA	NA	0	0	88.7645629539878	1	47
241	241	-11922317.4639596	6022779.32915611	0.7	NA	NA	0	0	92.3048986893274	1	44
242	242	-11721942.3805317	6022779.32915611	0.67	ikt	ikt-ca	0.0588235294117647	1	86.8581187753416	1	41
243	243	-11521567.2971038	6022779.32915611	0.36	NA	NA	0	0	80.3321737630322	NA	44
244	244	-11321192.2136759	6022779.32915611	0.28	NA	NA	0	0	79.1420609904793	NA	34
245	245	-11120817.130248	6022779.32915611	0.37	NA	NA	0	0	83.9326214484475	NA	13
246	246	-10920442.0468201	6022779.32915611	0.56	NA	NA	0	0	84.0120996050516	NA	19
247	247	-10720066.9633922	6022779.32915611	0.37	ikt	ikt-ca	0.0588235294117647	1	82.1203241392113	0	38
248	248	-10519691.8799644	6022779.32915611	0.86	NA	NA	0	0	87.3550342900533	0	25
249	249	-10319316.7965365	6022779.32915611	0.67	ikt	ikt-ca	0.0588235294117647	1	88.3090104900617	NA	42
250	250	-10118941.7131086	6022779.32915611	0.21	NA	NA	0	0	82.3545419769547	NA	46
251	251	-9918566.62968067	6022779.32915611	0.48	NA	NA	0	0	87.4445081260691	1	36
252	252	-9718191.54625278	6022779.32915611	0.6	NA	NA	0	0	87.8427738886004	1	33
253	253	-9517816.46282489	6022779.32915611	0.6	NA	NA	0	0	89.5547549829327	1	38
254	254	-9317441.379397	6022779.32915611	0.84	NA	NA	0	0	92.4152802497152	1	35
255	255	-9117066.2959691	6022779.32915611	0.81	ikt	ikt-ca	0.0588235294117647	1	89.5341734753845	0	34
256	256	-8916691.21254121	6022779.32915611	0.58	NA	NA	0	0	88.8306689417216	0	31
257	257	-8716316.12911332	6022779.32915611	0.57	NA	NA	0	0	92.4122726975977	0	19
258	258	-8515941.04568543	6022779.32915611	0.64	NA	NA	0	0	93.5784717714192	0	19
259	259	-8315565.96225753	6022779.32915611	0.6	NA	NA	0	0	94.9908922665754	0	30
260	260	-8115190.87882964	6022779.32915611	0.52	NA	NA	0	0	93.2297463924564	0	21
261	261	-7914815.79540175	6022779.32915611	0.44	NA	NA	0	0	90.3800478665478	0	19
262	262	-7714440.71197386	6022779.32915611	0.39	ike	ike-ca	0.0476190476190476	1	73.3880254526298	NA	0
263	263	-7514065.62854596	6022779.32915611	0.12	NA	NA	0	0	73.3094245420403	NA	13
264	264	-7313690.54511807	6022779.32915611	0	NA	NA	0	0	72.0295740243812	NA	NA
265	265	-7113315.46169018	6022779.32915611	0	NA	NA	0	0	69.7394634472855	NA	NA
266	266	-6912940.37826229	6022779.32915611	0	NA	NA	0	0	71.9460510569933	NA	NA
267	267	-6712565.29483439	6022779.32915611	0	NA	NA	0	0	74.1104317164425	NA	NA
268	268	-6512190.2114065	6022779.32915611	0	NA	NA	0	0	69.8804931675	NA	NA
269	269	-6311815.12797861	6022779.32915611	0.04	kal	kal-gl	0.0769230769230769	1	68.5197802416854	NA	40
270	270	-6111440.04455072	6022779.32915611	0.47	kal	kal-gl	0.0769230769230769	1	82.161871889005	NA	0
271	271	-5911064.96112282	6022779.32915611	0.76	kal	kal-gl	0.0769230769230769	1	89.6105979488404	0	0
272	272	-5710689.87769493	6022779.32915611	0.88	kal	kal-gl	0.0769230769230769	1	92.460269965793	0	0
273	273	-5510314.79426704	6022779.32915611	1	NA	NA	0	0	90.2664725882284	0	0
274	274	-5309939.71083915	6022779.32915611	1	NA	NA	0	0	89.0916985029397	0	0
275	275	-5109564.62741125	6022779.32915611	1	NA	NA	0	0	89.0836510718171	0	0
276	276	-4909189.54398336	6022779.32915611	1	NA	NA	0	0	89.2776303076412	0	0
277	277	-4708814.46055547	6022779.32915611	1	NA	NA	0	0	89.3095414759342	0	0
278	278	-4508439.37712758	6022779.32915611	1	NA	NA	0	0	89.3060941244169	0	0
279	279	-4308064.29369969	6022779.32915611	1	NA	NA	0	0	89.5544566940794	0	0
280	280	-4107689.21027179	6022779.32915611	1	NA	NA	0	0	89.3779299236699	0	0
281	281	-3907314.1268439	6022779.32915611	1	NA	NA	0	0	89.115423061102	0	0
282	282	-3706939.04341601	6022779.32915611	1	NA	NA	0	0	87.4904777466718	0	0
283	283	-3506563.95998812	6022779.32915611	1	NA	NA	0	0	87.3131911860935	0	0
284	284	-3306188.87656022	6022779.32915611	1	NA	NA	0	0	88.3523380348357	0	0
285	285	-3105813.79313233	6022779.32915611	1	NA	NA	0	0	88.5826890569379	0	0
286	286	-2905438.70970444	6022779.32915611	0.88	NA	NA	0	0	87.4881333654689	0	0
287	287	-2705063.62627655	6022779.32915611	0.67	NA	NA	0	0	85.0203932957893	0	0
288	288	-2504688.54284865	6022779.32915611	0.31	kal	kal-gl	0.0769230769230769	1	76.3091373963624	0	0
289	289	-2304313.45942076	6022779.32915611	0.05	NA	NA	0	1	55.9750145458676	NA	0
290	290	-2103938.37599287	6022779.32915611	0	NA	NA	0	0	43.5467231715	NA	0
291	291	-1903563.29256497	6022779.32915611	0	NA	NA	0	0	46.5784828185001	NA	NA
292	292	-1703188.20913708	6022779.32915611	0	NA	NA	0	0	NA	NA	NA
293	293	-1502813.12570919	6022779.32915611	0	NA	NA	0	0	NA	NA	NA
294	294	-1302438.0422813	6022779.32915611	0	NA	NA	0	0	NA	NA	NA
295	295	-1102062.9588534	6022779.32915611	0	NA	NA	0	0	NA	NA	0
296	296	-901687.875425514	6022779.32915611	0	NA	NA	0	0	14.3184032465	0	0
297	297	-701312.791997619	6022779.32915611	0	NA	NA	0	0	NA	NA	NA
298	298	-500937.708569728	6022779.32915611	0	NA	NA	0	0	NA	NA	NA
299	299	-300562.625141837	6022779.32915611	0	NA	NA	0	0	NA	NA	NA
300	300	-100187.541713942	6022779.32915611	0	NA	NA	0	0	NA	NA	NA
301	301	100187.541713949	6022779.32915611	0	NA	NA	0	0	NA	NA	NA
302	302	300562.62514184	6022779.32915611	0	NA	NA	0	0	NA	NA	NA
303	303	500937.708569735	6022779.32915611	0	NA	NA	0	0	NA	NA	NA
