LANG_ISO,NAM_LABEL,LMP_POP1
jvd,Javindo,0
ain,Ainu,15
rey,Reyesano,4600
ona,Ona,2
tnx,Tanema,4
vnk,Vano,5
bjf,Barzani Jewish Neo-Aramaic,20
cip,Chiapanec,17
opt,Opata,15
bsr,Bassa-Kontagora,10
ldq,Lufu,3200
kgg,Kusunda,7
uun,Kulon-Pazeh,1
chh,Chinook,12
wya,Wyandot,24
aux,Aura,0
yaw,Yawalapiti,7
ttk,Totoro,4
nys,Nyunga,170
huw,Hukumina,0
aaq,Eastern Abnaki,1800
amz,Atampaya,0
ana,Andaqui,0
anb,Andoa,0
ans,Anserma,0
aoh,Arma,0
ard,Arabana,0
arj,Arapaso,268
ash,Abishira,0
auo,Auyokawa,0
avs,Aushiri,0
avo,Agavotaguerra,0
ave,Avestan,0
awk,Awabakal,0
axb,Abipon,0
axg,Mato Grosso Arara,150
ayd,Ayabadhu,0
ayy,Tayabas Ayta,0
bae,Bare,0
abj,Aka-Bea,0
aci,Aka-Cari,0
ack,Aka-Kora,0
acl,Akar-Bale,0
acs,Acroa,0
aea,Areba,0
aes,Alsea,0
aga,Aguano,40
aho,Ahom,0
aid,Alngith,0
ait,Arikem,0
ajw,Ajawa,0
akj,Aka-Jeru,0
akm,Aka-Bo,0
akx,Aka-Kede,0
aky,Aka-Kol,0
aqp,Atakapa,0
ama,Amanaye,192
bjb,Banggarla,0
bjy,Bayali,0
bll,Biloxi,0
bmn,Bina,0
boi,Barbareno,0
bow,Rema,0
bpb,Barbacoas,0
bpt,Barrow Point,0
bqf,Baga Kaloum,0
brk,Birked,0
bsl,Basa-Gumna,0
bsv,Baga Sobane,0
bte,Gamo-Ningi,15000
bvv,Baniva,0
bxi,Pirlatapa,0
tmr,Jewish Babylonian Aramaic,0
byg,Baygo,850
byq,Basay,0
byt,Berti,0
bzr,Biri,0
cyb,Cayubaba,794
caw,Callawalla,10
caz,Canichana,583
cbe,Chipiajes,0
cbh,Cagua,0
ccr,Cacaopera,0
cea,Lower Chehalis,0
chg,Chagatai,0
chc,Catawba,500
ctm,Chitimacha,300
chs,Chumash,156
cht,Cholon,0
cid,Chimariko,0
cjh,Upper Chehalis,200
cob,Chicomuceltec,100
cob,Chicomuceltec,1500
coj,Cochimi,0
cop,Coptic,0
coq,Coquille,0
cow,Cowlitz,200
coy,Coyaima,0
cpg,Cappadocian Greek,0
crf,Caramanta,0
