index	longitudes	latitudes	LANG_ISO	ID_ISO_A2	weighted_endemism	language_diversity	land_coverage	mgs	vegetation_productivity	new.mgs
44	44	1753281.97999406	6071043.98630044	swe nor sme sje smj	swe-se nor-no sme-no sje-no smj-no	2.5	5	0.32	2	70.7636882037737	52
45	45	2254219.68856379	6071043.98630044	swe nor fit sme fkv smj sme	swe-se nor-no fit-se sme-no fkv-no smj-se sme-se	2.66666666666667	7	0.36	3	105.710702140451	98
46	46	2755157.39713353	6071043.98630044	swe nor fin fit smn fit sme sme fkv sme	swe-se nor-no fin-fi fit-se smn-fi fit-fi sme-no sme-fi fkv-no sme-se	3.36666666666667	10	0.38	3	66.2153647481786	111
47	47	3256095.10570326	6071043.98630044	nor fin krl sms smn sme sms sme fkv	nor-no fin-fi krl-ru sms-ru smn-fi sme-no sms-fi sme-fi fkv-no	3.65833333333333	9	0.39	3	124.247946725	119
48	48	3757032.81427299	6071043.98630044	rus krl sjd sms sjt	rus-ru krl-ru sjd-ru sms-ru sjt-ru	1.6	5	0.29	4	123.0416660125	120
49	49	4257970.52284272	6071043.98630044	sjd sjt	sjd-ru sjt-ru	0.833333333333333	2	0.2	4	122.70924	116
50	50	4758908.23141245	6071043.98630044	yrk sjt	yrk-ru sjt-ru	0.416666666666667	2	0.04	4	93.2048292187496	115
51	51	5259845.93998218	6071043.98630044	yrk	yrk-ru	0.0833333333333333	1	0.13	3	89.7243471187503	110
52	52	5760783.64855191	6071043.98630044	yrk	yrk-ru	0.0833333333333333	1	0.25	3	94.220879999176	105
53	53	6261721.35712165	6071043.98630044	kpv yrk	kpv-ru yrk-ru	0.283333333333333	2	0.36	2	90.824750084608	64
54	54	6762659.06569137	6071043.98630044	kpv yrk	kpv-ru yrk-ru	0.283333333333333	3	0.3	2	79.5727887185439	89
55	55	7263596.77426111	6071043.98630044	kca yrk	kca-ru yrk-ru	0.208333333333333	3	0.26	2	73.0593784408833	86
56	56	7764534.48283084	6071043.98630044	kca yrk	kca-ru yrk-ru	0.208333333333333	2	0.47	2	105.657854693658	77
57	57	8265472.19140057	6071043.98630044	yrk	yrk-ru	0.0833333333333333	1	0.32	2	97.2837090069638	75
58	58	8766409.8999703	6071043.98630044	yrk nio	yrk-ru nio-ru	0.25	1	0.51	2	100.200946455622	82
59	59	9267347.60854003	6071043.98630044	rus yrk sel nio enh	rus-ru yrk-ru sel-ru nio-ru enh-ru	1.51666666666667	5	0.59	2	95.1062489177639	84
60	60	9768285.31710976	6071043.98630044	rus evn dlg nio ket enf	rus-ru evn-ru dlg-ru nio-ru ket-ru enf-ru	1.89166666666667	6	0.66	2	103.824241424644	81
61	61	10269223.0256795	6071043.98630044	evn dlg nio	evn-ru dlg-ru nio-ru	0.375	3	0.7	2	103.475786834284	68
62	62	10770160.7342492	6071043.98630044	evn dlg nio	evn-ru dlg-ru nio-ru	0.375	3	0.8	1	102.724003334531	65
63	63	11271098.442819	6071043.98630044	evn dlg nio	evn-ru dlg-ru nio-ru	0.375	3	0.82	2	103.998494622426	75
64	64	11772036.1513887	6071043.98630044	evn dlg	evn-ru dlg-ru	0.208333333333333	3	0.78	2	102.614958849841	75
65	65	12272973.8599584	6071043.98630044	sah dlg	sah-ru dlg-ru	0.214285714285714	2	0.7	3	100.952060923792	82
66	66	12773911.5685281	6071043.98630044	sah	sah-ru	0.0476190476190476	1	0.6	3	110.053751341126	94
67	67	13274849.2770979	6071043.98630044	sah	sah-ru	0.0476190476190476	1	0.54	3	110.435028230748	93
68	68	13775786.9856676	6071043.98630044	sah	sah-ru	0.0476190476190476	1	0.56	3	104.608304311154	96
69	69	14276724.6942373	6071043.98630044	sah	sah-ru	0.0476190476190476	1	0.49	3	107.43439667467	83
70	70	14777662.4028071	6071043.98630044	sah	sah-ru	0.0476190476190476	1	0.4	3	84.464592598457	98
71	71	15278600.1113768	6071043.98630044	sah	sah-ru	0.0476190476190476	1	0.44	3	87.2564465595458	85
72	72	15779537.8199465	6071043.98630044	sah	sah-ru	0.0476190476190476	1	0.68	1	96.2227550729775	69
73	73	16280475.5285163	6071043.98630044	sah	sah-ru	0.0476190476190476	2	0.55	3	103.251626853515	85
74	74	16781413.237086	6071043.98630044	sah eve	sah-ru eve-ru	0.172619047619048	2	0.48	3	96.9959488555007	96
75	75	17282350.9456557	6071043.98630044	sah evn eve ykg	sah-ru evn-ru eve-ru ykg-ru	0.714285714285714	3	0.4	3	117.405832275	97
76	76	17783288.6542255	6071043.98630044	rus ckt	rus-ru ckt-ru	0.0880952380952381	2	0.35	3	115.0184736125	88
77	77	18284226.3627952	6071043.98630044	ckt	ckt-ru	0.0714285714285714	1	0.3	1	119.4735297875	73
78	78	18785164.0713649	6071043.98630044	ckt	ckt-ru	0.0714285714285714	2	0.26	2	112.876832975	82
79	79	19286101.7799347	6071043.98630044	ckt	ckt-ru	0.0714285714285714	1	0.3	1	112.4794454875	73
80	80	19787039.4885044	6071043.98630044	ckt	ckt-ru	0.0714285714285714	0	0.29	0	82.7690726421013	23
81	81	-19787039.4885044	5564265.08628505	ckt	ckt-ru	0.0714285714285714	1	0.08	2	NA	67
82	82	-19286101.7799346	5564265.08628505	ckt ess ynk ess	ckt-ru ess-us ynk-ru ess-ru	2.07142857142857	4	0.17	2	73.3072993547924	60
83	83	-18785164.0713649	5564265.08628505	ckt esu esk ess ynk ale	ckt-ru esu-us esk-us ess-us ynk-ru ale-us	1.68809523809524	5	0.06	2	72.5249190339199	87
84	84	-18284226.3627952	5564265.08628505	esu esk	esu-us esk-us	0.416666666666667	2	0.4	4	138.84750930323	121
85	85	-17783288.6542255	5564265.08628505	esu esk koy ems kuu ing hoi	esu-us esk-us koy-us ems-us kuu-us ing-us hoi-us	3.36666666666667	7	0.77	4	150.658408287983	130
86	86	-17282350.9456557	5564265.08628505	esu koy ems kuu	esu-us koy-us ems-us kuu-us	1.2	4	0.89	4	150.174460758417	131
87	87	-16781413.237086	5564265.08628505	eng koy ems tfn taa	eng-us koy-us ems-us tfn-us taa-us	2.47272727272727	5	0.63	3	142.37304479674	124
88	88	-16280475.5285163	5564265.08628505	ems aht tcb	ems-us aht-us tcb-us	1.25	3	0.56	3	134.16872422286	122
89	89	-15779537.8199465	5564265.08628505	aht haa tcb tau haa tau	aht-us haa-us tcb-us tau-us haa-ca tau-ca	4.5	6	0.63	3	136.457662139857	115
90	90	-15278600.1113768	5564265.08628505	tli tce ttm tli haa	tli-us tce-ca ttm-ca tli-ca haa-ca	3	5	0.78	3	150.918705924852	110
91	91	-14777662.4028071	5564265.08628505	tli kkz tce tli tht tgx	tli-us kkz-ca tce-ca tli-ca tht-ca tgx-ca	3.33333333333333	7	0.94	3	150.234626805213	107
92	92	-14276724.6942373	5564265.08628505	kkz tht	kkz-ca tht-ca	0.833333333333333	3	1	3	144.980723482844	105
93	93	-13775786.9856676	5564265.08628505	eng bea xsl kkz sek scs	eng-ca bea-ca xsl-ca kkz-ca sek-ca scs-ca	1.90512820512821	6	1	3	156.843490624559	123
94	94	-13274849.2770979	5564265.08628505	eng crk bea xsl dgr	eng-ca crk-ca bea-ca xsl-ca dgr-ca	1.17179487179487	5	1	5	153.162951386662	115
95	95	-12773911.5685281	5564265.08628505	eng crk chp bea xsl dgr	eng-ca crk-ca chp-ca bea-ca xsl-ca dgr-ca	1.29679487179487	5	1	4	109.127440261467	93.5
96	96	-12272973.8599584	5564265.08628505	crk chp	crk-ca chp-ca	0.225	3	1	3	144.652479695022	109
97	97	-11772036.1513887	5564265.08628505	chp	chp-ca	0.125	1	1	3	139.167548815092	109
98	98	-11271098.4428189	5564265.08628505	crk chp cwd	crk-ca chp-ca cwd-ca	0.367857142857143	2	1	3	130.135168504717	96
99	99	-10770160.7342492	5564265.08628505	chp ikt cwd	chp-ca ikt-ca cwd-ca	0.351190476190476	3	1	2	136.341723326223	88
100	100	-10269223.0256795	5564265.08628505	chp csw ikt cwd	chp-ca csw-ca ikt-ca cwd-ca	0.494047619047619	4	0.51	2	99.2922560713588	75
101	101	-9768285.31710975	5564265.08628505	NA	NA	0	0	0.17	2	NA	64
102	102	-9267347.60854002	5564265.08628505	ikt	ikt-ca	0.0833333333333333	1	0.16	2	91.3394727737501	63
103	103	-8766409.89997029	5564265.08628505	fra ike	fra-ca ike-ca	0.196428571428571	2	0.19	2	96.4970975977723	65
104	104	-8265472.19140056	5564265.08628505	fra ike	fra-ca ike-ca	0.196428571428571	2	0.74	2	121.300124061517	69
105	105	-7764534.48283083	5564265.08628505	ike	ike-ca	0.125	1	0.73	2	107.91119931213	57
106	106	-7263596.7742611	5564265.08628505	ike	ike-ca	0.125	1	0.48	2	96.7406710048173	52
107	107	-6762659.06569137	5564265.08628505	NA	NA	0	0	0.05	2	NA	81
108	108	-6261721.35712164	5564265.08628505	NA	NA	0	0	0	4	NA	NA
109	109	-5760783.6485519	5564265.08628505	kal	kal-gl	0.166666666666667	1	0.19	1	98.61894989	49
110	110	-5259845.93998217	5564265.08628505	kal	kal-gl	0.166666666666667	1	0.52	0	109.0072555875	0
111	111	-4758908.23141244	5564265.08628505	NA	NA	0	0	0.43	0	106.0397294824	0
112	112	-4257970.52284271	5564265.08628505	kal	kal-gl	0.166666666666667	1	0.04	0	NA	0
113	113	-3757032.81427298	5564265.08628505	NA	NA	0	0	0	0	NA	0
114	114	-3256095.10570325	5564265.08628505	NA	NA	0	0	0	NA	NA	NA
115	115	-2755157.39713352	5564265.08628505	isl	isl-is	0.2	1	0.04	3	NA	112
116	116	-2254219.68856379	5564265.08628505	isl	isl-is	0.2	1	0.21	3	43.302916525	107
117	117	-1753281.97999405	5564265.08628505	isl	isl-is	0.2	1	0.16	2	NA	89
118	118	-1252344.27142432	5564265.08628505	NA	NA	0	0	0	10	NA	NA
119	119	-751406.562854592	5564265.08628505	eng sco gla fao	eng-gb sco-gb gla-gb fao-fo	1.78333333333333	4	0.06	6	100.107027484527	218
120	120	-250468.85428486	5564265.08628505	eng sco gla	eng-gb sco-gb gla-gb	0.783333333333333	3	0.07	6	113.548357795071	217
121	121	250468.854284871	5564265.08628505	NA	NA	0	0	0	8	NA	NA
122	122	751406.562854603	5564265.08628505	nor dan	nor-no dan-dk	0.325	2	0.42	4	143.987333794524	155
123	123	1252344.27142433	5564265.08628505	swe nor dan sma sma	swe-se nor-no dan-dk sma-se sma-no	1.45	5	0.75	5	156.972517256355	158
124	124	1753281.97999406	5564265.08628505	swe nor sma sju sje sma	swe-se nor-no sma-se sju-se sje-se sma-no	2.25	6	0.89	5	162.966441184131	153
125	125	2254219.68856379	5564265.08628505	swe fin lav est swe liv sju sje	swe-se fin-fi lav-lv est-ee swe-fi liv-lv sju-se sje-se	2.825	8	0.31	5	119.104898592622	150
126	126	2755157.39713353	5564265.08628505	fin lav est fit swe fit liv	fin-fi lav-lv est-ee fit-se swe-fi fit-fi liv-lv	2.53333333333333	7	0.73	5	159.070435082323	160
127	127	3256095.10570326	5564265.08628505	rus fin krl lav est fin izh olo krl vot	rus-ru fin-fi krl-ru lav-lv est-ee fin-ru izh-ru olo-ru krl-fi vot-ru	5.46666666666667	10	0.97	5	147.741248779511	162
128	128	3757032.81427299	5564265.08628505	rus krl olo lud vep	rus-ru krl-ru olo-ru lud-ru vep-ru	2.76666666666667	6	0.95	5	149.401076710581	164
129	129	4257970.52284272	5564265.08628505	rus	rus-ru	0.0166666666666667	1	0.89	5	161.53473093696	163
130	130	4758908.23141245	5564265.08628505	rus	rus-ru	0.0166666666666667	1	1	5	163.922269778429	153
131	131	5259845.93998218	5564265.08628505	rus kpv mhr	rus-ru kpv-ru mhr-ru	0.35952380952381	3	1	5	165.374686762877	148
132	132	5760783.64855191	5564265.08628505	rus kpv udm mhr koi	rus-ru kpv-ru udm-ru mhr-ru koi-ru	1.19285714285714	5	1	5	163.976312877518	145
133	133	6261721.35712165	5564265.08628505	rus kpv udm mhr koi	rus-ru kpv-ru udm-ru mhr-ru koi-ru	1.19285714285714	5	1	5	161.906998155176	141
134	134	6762659.06569137	5564265.08628505	rus kca mns	rus-ru kca-ru mns-ru	0.641666666666667	4	1	5	166.256224621151	137
135	135	7263596.77426111	5564265.08628505	rus kca mns	rus-ru kca-ru mns-ru	0.641666666666667	3	1	5	159.642292243626	138
136	136	7764534.48283084	5564265.08628505	rus kca	rus-ru kca-ru	0.141666666666667	2	1	4	154.265381303189	132
137	137	8265472.19140057	5564265.08628505	rus kca yrk	rus-ru kca-ru yrk-ru	0.225	3	1	4	150.758550545371	130
138	138	8766409.8999703	5564265.08628505	rus kca yrk sel	rus-ru kca-ru yrk-ru sel-ru	0.475	3	1	4	152.9474872344	128
139	139	9267347.60854003	5564265.08628505	rus kca sel	rus-ru kca-ru sel-ru	0.391666666666667	3	1	4	155.21293083766	127
140	140	9768285.31710976	5564265.08628505	rus sel kjh ket yuu	rus-ru sel-ru kjh-ru ket-ru yuu-ru	2.01666666666667	5	1	4	159.995467602832	129
141	141	10269223.0256795	5564265.08628505	rus evn kjh	rus-ru evn-ru kjh-ru	0.308333333333333	3	1	4	157.47750098737	122
142	142	10770160.7342492	5564265.08628505	rus evn	rus-ru evn-ru	0.0583333333333333	2	1	3	154.087119680631	118
143	143	11271098.442819	5564265.08628505	rus evn	rus-ru evn-ru	0.0583333333333333	2	1	3	150.659183988791	120
144	144	11772036.1513887	5564265.08628505	rus evn	rus-ru evn-ru	0.0583333333333333	2	1	3	147.86502783356	118
145	145	12272973.8599584	5564265.08628505	sah evn	sah-ru evn-ru	0.0892857142857143	2	1	3	148.668100588496	117
146	146	12773911.5685281	5564265.08628505	rus sah	rus-ru sah-ru	0.0642857142857143	2	1	3	151.487866367401	115
147	147	13274849.2770979	5564265.08628505	sah evn	sah-ru evn-ru	0.0892857142857143	1	1	3	152.057686636212	122
148	148	13775786.9856676	5564265.08628505	rus sah	rus-ru sah-ru	0.0642857142857143	3	1	3	149.09360937146	121
149	149	14276724.6942373	5564265.08628505	sah evn eve	sah-ru evn-ru eve-ru	0.214285714285714	4	1	3	150.408966850311	121
150	150	14777662.4028071	5564265.08628505	sah evn eve	sah-ru evn-ru eve-ru	0.214285714285714	3	1	3	150.888440835366	128
151	151	15278600.1113768	5564265.08628505	rus sah eve	rus-ru sah-ru eve-ru	0.189285714285714	3	0.99	3	144.734144978958	103
152	152	15779537.8199465	5564265.08628505	rus sah evn	rus-ru sah-ru evn-ru	0.105952380952381	2	0.77	3	136.296546416687	92
153	153	16280475.5285163	5564265.08628505	rus sah evn eve	rus-ru sah-ru evn-ru eve-ru	0.230952380952381	2	0.7	3	138.305339917589	89
154	154	16781413.237086	5564265.08628505	rus sah eve ykg	rus-ru sah-ru eve-ru ykg-ru	0.689285714285714	4	0.71	3	138.686186828101	104
155	155	17282350.9456557	5564265.08628505	rus evn eve itl yux	rus-ru evn-ru eve-ru itl-ru yux-ru	1.01666666666667	4	0.61	3	137.101977107826	103
156	156	17783288.6542255	5564265.08628505	evn kpy itl alr	evn-ru kpy-ru itl-ru alr-ru	1.125	5	0.75	3	129.309691913077	98
157	157	18284226.3627952	5564265.08628505	kpy alr	kpy-ru alr-ru	0.75	2	0.63	3	134.860761797963	99
158	158	18785164.0713649	5564265.08628505	rus ckt kpy	rus-ru ckt-ru kpy-ru	0.338095238095238	2	0.6	3	133.101833837029	100
159	159	19286101.7799347	5564265.08628505	ckt kpy	ckt-ru kpy-ru	0.321428571428571	2	0.46	3	136.034519225	97
160	160	19787039.4885044	5564265.08628505	ckt	ckt-ru	0.0714285714285714	1	0.31	2	116.566432925	93
161	161	-19787039.4885044	5057486.18626965	NA	NA	0	0	0	4	62.4665527337496	159
162	162	-19286101.7799346	5057486.18626965	ale	ale-us	0.2	1	0.01	4	19.3972138191066	142
163	163	-18785164.0713649	5057486.18626965	ale	ale-us	0.2	1	0.01	4	87.8488531125	140
164	164	-18284226.3627952	5057486.18626965	ale	ale-us	0.2	1	0.04	4	57.60447120875	140
165	165	-17783288.6542255	5057486.18626965	ale	ale-us	0.2	1	0.06	4	NA	142
166	166	-17282350.9456557	5057486.18626965	NA	NA	0	0	0	4	NA	157
167	167	-16781413.237086	5057486.18626965	NA	NA	0	0	0	NA	NA	NA
168	168	-16280475.5285163	5057486.18626965	NA	NA	0	0	0	NA	NA	NA
169	169	-15779537.8199465	5057486.18626965	NA	NA	0	0	0	NA	NA	NA
170	170	-15278600.1113768	5057486.18626965	NA	NA	0	0	0	NA	NA	183
171	171	-14777662.4028071	5057486.18626965	eng eng tsi hdn hdn hax	eng-us eng-ca tsi-us hdn-us hdn-ca hax-ca	3.56118881118881	6	0.13	6	187.194180678473	199
172	172	-14276724.6942373	5057486.18626965	eng tsi bcr tsi noo ncg kwk git hei blc has	eng-ca tsi-us bcr-ca tsi-ca noo-ca ncg-ca kwk-ca git-ca hei-ca blc-ca has-ca	7.87179487179487	11	0.64	5	171.627524570242	151
173	173	-13775786.9856676	5057486.18626965	eng ojw bea crx bcr shs sek clc hur caf coo noo thp kwk lil squ sec	eng-ca ojw-ca bea-ca crx-ca bcr-ca shs-ca sek-ca clc-ca hur-ca caf-ca coo-ca noo-ca thp-ca kwk-ca lil-ca squ-ca sec-ca	10.3813186813187	18	0.96	5	188.685648896954	134
174	174	-13274849.2770979	5057486.18626965	eng crk bea oka shs hur thp	eng-ca crk-ca bea-ca oka-ca shs-ca hur-ca thp-ca	2.00512820512821	7	1	5	175.872662187424	142
175	175	-12773911.5685281	5057486.18626965	eng crk ojw bla sto shs kut srs	eng-ca crk-ca ojw-ca bla-ca sto-ca shs-ca kut-ca srs-ca	3.61465201465201	8	1	5	178.517722497184	169
176	176	-12272973.8599584	5057486.18626965	eng crk ojw bla chp cwd asb	eng-ca crk-ca ojw-ca bla-ca chp-ca cwd-ca asb-ca	1.38250915750916	7	1	5	166.029658488649	98.5
177	177	-11772036.1513887	5057486.18626965	eng crk ojw chp csw cwd dak asb lkt	eng-ca crk-ca ojw-ca chp-ca csw-ca cwd-ca dak-ca asb-ca lkt-ca	2.35869963369963	9	1	5	170.10991282416	99
178	178	-11271098.4428189	5057486.18626965	eng crk ojw csw cwd dak asb	eng-ca crk-ca ojw-ca csw-ca cwd-ca dak-ca asb-ca	1.23369963369963	7	1	5	166.691327703592	136
179	179	-10770160.7342492	5057486.18626965	eng ciw crk ojw csw ojb ojs cwd dak	eng-ca ciw-us crk-ca ojw-ca csw-ca ojb-ca ojs-ca cwd-ca dak-ca	1.6003663003663	9	1	5	154.96393489161	151
180	180	-10269223.0256795	5057486.18626965	csw ojb ojs	csw-ca ojb-ca ojs-ca	0.676190476190476	3	1	5	177.288196615202	153
181	181	-9768285.31710975	5057486.18626965	eng csw ojb ojc ojs	eng-ca csw-ca ojb-ca ojc-ca ojs-ca	0.914652014652015	5	0.95	4	169.067709374942	143
182	182	-9267347.60854002	5057486.18626965	eng fra csw ojc	eng-ca fra-ca csw-ca ojc-ca	0.452747252747253	3	0.71	4	158.338474318612	148
183	183	-8766409.89997029	5057486.18626965	eng fra ike crj crl crm	eng-ca fra-ca ike-ca crj-ca crl-ca crm-ca	2.73489010989011	5	0.64	4	139.345934939377	144
184	184	-8265472.19140056	5057486.18626965	eng fra crj	eng-ca fra-ca crj-ca	0.60989010989011	2	1	4	161.000550084274	127
185	185	-7764534.48283083	5057486.18626965	eng fra moe	eng-ca fra-ca moe-ca	0.30989010989011	3	1	4	157.049016404783	116
186	186	-7263596.7742611	5057486.18626965	eng fra moe nsk	eng-ca fra-ca moe-ca nsk-ca	0.80989010989011	4	0.84	4	155.781770310651	115
187	187	-6762659.06569137	5057486.18626965	eng fra ike moe nsk	eng-ca fra-ca ike-ca moe-ca nsk-ca	0.93489010989011	5	0.76	4	167.689151167826	118
188	188	-6261721.35712164	5057486.18626965	fra	fra-ca	0.0714285714285714	1	0.32	4	132.56280970945	122
189	189	-5760783.6485519	5057486.18626965	NA	NA	0	0	0	6	NA	172
190	190	-5259845.93998217	5057486.18626965	NA	NA	0	0	0	NA	NA	NA
191	191	-4758908.23141244	5057486.18626965	NA	NA	0	0	0	NA	NA	NA
192	192	-4257970.52284271	5057486.18626965	NA	NA	0	0	0	NA	NA	NA
193	193	-3757032.81427298	5057486.18626965	NA	NA	0	0	0	NA	NA	NA
194	194	-3256095.10570325	5057486.18626965	NA	NA	0	0	0	NA	NA	NA
195	195	-2755157.39713352	5057486.18626965	NA	NA	0	0	0	NA	NA	NA
196	196	-2254219.68856379	5057486.18626965	NA	NA	0	0	0	NA	NA	NA
197	197	-1753281.97999405	5057486.18626965	NA	NA	0	0	0	NA	NA	NA
198	198	-1252344.27142432	5057486.18626965	eng gle	eng-ie gle-ie	1	2	0.03	10	170.365918739827	365
199	199	-751406.562854592	5057486.18626965	eng sco eng gla cym gle eng	eng-gb sco-gb eng-ie gla-gb cym-gb gle-ie eng-im	2.78333333333333	7	0.3	8	173.617596650854	296
200	200	-250468.85428486	5057486.18626965	fra eng sco cym eng fra eng eng fra	fra-fr eng-gb sco-gb cym-gb eng-im fra-JE eng-je eng-gg fra-gg	5.56111111111111	9	0.65	8	189.404356363581	245
201	201	250468.854284871	5057486.18626965	fra eng nld pcd fra wln nld vls pcd zea vls vls	fra-fr eng-gb nld-nl pcd-fr fra-be wln-be nld-be vls-be pcd-be zea-nl vls-fr vls-nl	8.31111111111111	12	0.34	9	174.206856954645	235
202	202	751406.562854603	5057486.18626965	fra deu dan nld fra wln nld gsw fry gos drt ltz deu fra lim sdz twd act deu vel lim dan ltz frr stl deu ltz ltz frs	fra-fr deu-de dan-dk nld-nl fra-be wln-be nld-be gsw-fr fry-nl gos-nl drt-nl ltz-lu deu-lu fra-lu lim-be sdz-nl twd-nl act-nl deu-be vel-nl lim-nl dan-de ltz-fr frr-de stl-nl deu-dk ltz-be ltz-de frs-de	22.9777777777778	29	0.65	7	180.6614370388	239
203	203	1252344.27142433	5057486.18626965	swe deu ces dan deu dan deu	swe-se deu-de ces-cz dan-dk deu-cz dan-de deu-dk	2.19166666666667	7	0.84	7	182.227309203663	208
204	204	1753281.97999406	5057486.18626965	swe deu pol ces dan hsb deu swe dsb	swe-se deu-de pol-pl ces-cz dan-dk hsb-de deu-cz swe-dk dsb-de	4.525	9	0.78	7	183.989170842659	200
205	205	2254219.68856379	5057486.18626965	pol ces lit lav slk csb pol pol	pol-pl ces-cz lit-lt lav-lv slk-sk csb-pl pol-cz pol-sk	4.53333333333333	9	0.83	7	179.999388141735	215
206	206	2755157.39713353	5057486.18626965	ukr pol bel lit lav pol ukr kdr	ukr-ua pol-pl bel-by lit-lt lav-lv pol-ua ukr-pl kdr-lt	4.44444444444444	8	1	7	181.157904984948	206
207	207	3256095.10570326	5057486.18626965	ukr bel lav	ukr-ua bel-by lav-lv	0.611111111111111	3	1	7	181.554968446145	201
208	208	3757032.81427299	5057486.18626965	rus ukr bel rus	rus-ru ukr-ua bel-by rus-ua	0.661111111111111	4	1	7	176.626818674506	184
209	209	4257970.52284272	5057486.18626965	rus ukr rus	rus-ru ukr-ua rus-ua	0.327777777777778	3	1	6	169.237619421472	142
