,P[Y=1],P[Y=2],P[Y=3],y_hat,y_avg,y_obs,residual1,residual2
but,0.988110996,0.011758627,0.000130377,1,1.01201938,1,-0.01201938,0
buu,0.998913805,0.001082027,4.17E-06,1,1.001090364,1,-0.001090364,0
buv,0.878965092,0.115810211,0.005224697,1,1.126259606,1,-0.126259606,0
buw,0.972773409,0.026766696,0.000459895,1,1.027686486,1,-0.027686486,0
bux,0.990285275,0.009618204,9.65E-05,1,1.009811247,1,-0.009811247,0
buy,0.993517303,0.00642949,5.32E-05,1,1.006535904,1,-0.006535904,0
buz,0.910590186,0.086292331,0.003117484,1,1.092527298,1,-0.092527298,0
bva,0.929266616,0.068622608,0.002110776,1,1.07284416,1,-0.07284416,0
bvb,0.972276034,0.027250966,0.000473,1,1.028196966,1,-0.028196966,0
bvc,0.994848359,0.005113572,3.81E-05,1,1.00518971,1,-0.00518971,0
bvd,0.993855184,0.006095612,4.92E-05,1,1.006194021,1,-0.006194021,0
bvf,0.558896813,0.379193233,0.061909954,1,1.503013141,1,-0.503013141,0
bvg,0.932612204,0.065438766,0.00194903,1,1.069336826,1,-0.069336826,0
bvh,0.796272737,0.19048882,0.013238443,1,1.216965705,2,0.783034295,1
bvi,0.984617834,0.015190187,0.000191979,1,1.015574145,1,-0.015574145,0
bvj,0.983062579,0.016715316,0.000222105,1,1.017159526,1,-0.017159526,0
bvk,0.848938824,0.143357422,0.007703755,1,1.158764931,1,-0.158764931,0
bvm,0.995609949,0.004359854,3.02E-05,1,1.004420249,1,-0.004420249,0
bvn,0.932707747,0.065347759,0.001944494,1,1.069236747,1,-0.069236747,0
bvo,0.822711573,0.167023246,0.010265181,1,1.187553608,1,-0.187553608,0
bvr,0.843239242,0.148532347,0.008228412,1,1.16498917,1,-0.16498917,0
bvt,0.848900972,0.143391847,0.007707181,1,1.158806209,1,-0.158806209,0
bvv,0.008891128,0.154810448,0.836298424,3,2.827407295,3,0.172592705,0
bvw,0.975810238,0.023806742,0.00038302,1,1.024572781,1,-0.024572781,0
bvx,0.944462723,0.054115418,0.00142186,1,1.056959137,1,-0.056959137,0
bvz,0.990490599,0.009415888,9.35E-05,1,1.009602914,1,-0.009602914,0
bwc,0.891547688,0.104127036,0.004325276,1,1.112777588,1,-0.112777588,0
bwd,0.996227408,0.003748321,2.43E-05,1,1.003796863,1,-0.003796863,0
bwe,0.991995279,0.007932216,7.25E-05,1,1.008077226,1,-0.008077226,0
bwf,0.96152066,0.0376888,0.000790539,1,1.039269879,1,-0.039269879,0
bwg,0.995309464,0.004657305,3.32E-05,1,1.004723767,1,-0.004723767,0
bwh,0.038644673,0.314861373,0.646493954,3,2.607849281,3,0.392150719,0
bwi,0.949791736,0.048999994,0.00120827,1,1.051416533,2,0.948583467,1
bwj,0.998162853,0.001828437,8.71E-06,1,1.001845858,1,-0.001845858,0
bwk,0.942122755,0.056356974,0.001520271,1,1.059397516,1,-0.059397516,0
bwm,0.954922309,0.0440611,0.001016592,1,1.046094283,1,-0.046094283,0
bwn,0.916988828,0.080258391,0.002752781,1,1.085763953,1,-0.085763953,0
bwo,0.990321053,0.009582952,9.60E-05,1,1.009774942,1,-0.009774942,0
bwp,0.972033352,0.027487202,0.000479446,1,1.028446094,1,-0.028446094,0
bwq,0.999849498,0.000150223,2.79E-07,1,1.000150781,1,-0.000150781,0
bwr,0.999660121,0.000339039,8.41E-07,1,1.00034072,1,-0.00034072,0
bws,0.996200512,0.003774968,2.45E-05,1,1.003824009,1,-0.003824009,0
bwt,0.992091791,0.007836987,7.12E-05,1,1.00797943,1,-0.00797943,0
bwu,0.999719135,0.000280216,6.48E-07,1,1.000281513,1,-0.000281513,0
bww,0.998993244,0.001003006,3.75E-06,1,1.001010505,1,-0.001010505,0
bwx,0.997664509,0.002323257,1.22E-05,1,1.002347725,1,-0.002347725,0
bwy,0.988808174,0.011072695,0.000119131,1,1.011310957,1,-0.011310957,0
bwz,0.928544677,0.069308901,0.002146421,1,1.073601744,1,-0.073601744,0
bxa,0.984966493,0.014848058,0.000185449,1,1.015218956,1,-0.015218956,0
bxb,0.950766222,0.048062974,0.001170804,1,1.050404582,1,-0.050404582,0
bxc,0.880485503,0.114402802,0.005111695,1,1.124626192,1,-0.124626192,0
bxd,0.903245119,0.093193285,0.003561596,1,1.100316477,1,-0.100316477,0
bxe,0.650226196,0.31196454,0.037809263,1,1.387583067,2,0.612416933,1
bxf,0.967669719,0.031729188,0.000601093,1,1.032931374,1,-0.032931374,0
bxg,0.319262359,0.50221262,0.178525021,2,1.859262662,1,-0.859262662,-1
bxh,0.979854439,0.019856328,0.000289233,1,1.020434794,1,-0.020434794,0
bxi,0.000417674,0.025167691,0.974414634,3,2.97399696,3,0.02600304,0
bxj,0.030639511,0.284720527,0.684639963,3,2.654000452,2,-0.654000452,-1
bxk,0.999810617,0.000189003,3.80E-07,1,1.000189763,1,-0.000189763,0
bxl,0.965716654,0.033624338,0.000659009,1,1.034942355,1,-0.034942355,0
bxm,0.994347373,0.00560906,4.36E-05,1,1.005696193,1,-0.005696193,0
bxn,0.031343583,0.287605108,0.68105131,3,2.649707727,3,0.350292273,0
bxp,0.956113938,0.04291201,0.000974052,1,1.044860115,1,-0.044860115,0
bxq,0.66866333,0.297485916,0.033850754,1,1.365187424,1,-0.365187424,0
bxr,0.993804559,0.006145643,4.98E-05,1,1.006245239,1,-0.006245239,0
bxs,0.933586173,0.064510819,0.001903008,1,1.068316834,1,-0.068316834,0
bxu,0.968175425,0.031238131,0.000586444,1,1.032411019,1,-0.032411019,0
bxv,0.032063423,0.290503165,0.677433412,3,2.645369989,3,0.354630011,0
bxw,0.984249114,0.015551911,0.000198975,1,1.015949861,1,-0.015949861,0
bxz,0.862602876,0.130880356,0.006516768,1,1.143913892,1,-0.143913892,0
bya,0.795272414,0.19136868,0.013358906,1,1.218086492,1,-0.218086492,0
byb,0.044225127,0.332965856,0.622809017,3,2.57858389,3,0.42141611,0
byc,0.993017363,0.006923317,5.93E-05,1,1.007041957,1,-0.007041957,0
byd,0.98466792,0.015141044,0.000191036,1,1.015523116,1,-0.015523116,0
bye,0.958236147,0.040863695,0.000900158,1,1.042664011,1,-0.042664011,0
byf,0.366335757,0.486618727,0.147045516,2,1.780709759,2,0.219290241,0
byg,0.236072481,0.513062386,0.250865133,2,2.014792652,3,0.985207348,1
byh,0.977616959,0.022043154,0.000339887,1,1.022722929,1,-0.022722929,0
byi,0.970804559,0.028682835,0.000512606,1,1.029708047,1,-0.029708047,0
byj,0.971925489,0.027592189,0.000482322,1,1.028556833,1,-0.028556833,0
byk,0.766153733,0.216716419,0.017129848,1,1.250976115,1,-0.250976115,0
byl,0.745661008,0.234237674,0.020101318,1,1.27444031,1,-0.27444031,0
bym,0.164554674,0.496320857,0.339124469,2,2.174569795,3,0.825430205,1
byn,1,1.00E-11,3.33E-16,1,1,1,-1.001E-11,0
byo,0.99725051,0.002734059,1.54E-05,1,1.00276492,1,-0.00276492,0
byp,0.983104881,0.016673855,0.000221264,1,1.017116384,1,-0.017116384,0
byq,0.002501353,0.075872309,0.921626338,3,2.919124986,3,0.080875014,0
byr,0.994012585,0.005940039,4.74E-05,1,1.006034792,1,-0.006034792,0
bys,0.974554352,0.025031495,0.000414153,1,1.0258598,1,-0.0258598,0
byt,0.000317976,0.02111386,0.978568164,3,2.978250189,3,0.021749811,0
byv,0.998217882,0.001773774,8.34E-06,1,1.001790463,1,-0.001790463,0
byw,0.896618929,0.09939541,0.003985661,1,1.107366732,1,-0.107366732,0
byx,0.992223782,0.007706739,6.95E-05,1,1.007845697,1,-0.007845697,0
byz,0.964517312,0.034787068,0.00069562,1,1.036178308,1,-0.036178308,0
bza,0.999822361,0.00017729,3.49E-07,1,1.000177988,1,-0.000177988,0
bzb,0.821515276,0.168093632,0.010391092,1,1.188875816,1,-0.188875816,0
bzd,0.972562869,0.026971706,0.000465425,1,1.027902556,1,-0.027902556,0
bze,0.999991461,8.53E-06,6.32E-09,1,1.000008545,1,-8.5454E-06,0
bzf,0.99882839,0.001166978,4.63E-06,1,1.001176243,1,-0.001176243,0
bzg,0.025892897,0.263846254,0.710260849,3,2.684367952,3,0.315632048,0
bzh,0.993628805,0.006319321,5.19E-05,1,1.00642307,1,-0.00642307,0
bzi,0.863423766,0.130127624,0.006448609,1,1.143024843,1,-0.143024843,0
bzj,0.999899388,0.000100449,1.63E-07,1,1.000100774,1,-0.000100774,0
bzk,0.969704878,0.029752108,0.000543013,1,1.030838135,1,-0.030838135,0
bzl,0.853313853,0.13937327,0.007312876,1,1.153999023,1,-0.153999023,0
bzm,0.920707468,0.076742222,0.00255031,1,1.081842842,1,-0.081842842,0
bzo,0.960959542,0.038231603,0.000808855,1,1.039849313,1,-0.039849313,0
bzp,0.924420215,0.073224673,0.002355112,1,1.077934897,1,-0.077934897,0
bzq,0.930544371,0.067407295,0.002048333,1,1.071503962,1,-0.071503962,0
bzr,0.003962394,0.099063938,0.896973668,3,2.893011274,3,0.106988726,0
bzu,0.887303623,0.108076801,0.004619576,1,1.117315953,1,-0.117315953,0
bzv,0.926170276,0.071564211,0.002265513,1,1.076095238,1,-0.076095238,0
bzw,0.998439273,0.001553804,6.92E-06,1,1.00156765,1,-0.00156765,0
bzx,0.999698851,0.000300436,7.13E-07,1,1.000301862,1,-0.000301862,0
bzy,0.994401625,0.005555416,4.30E-05,1,1.005641334,1,-0.005641334,0
bzz,0.983316991,0.016465942,0.000217067,1,1.016900076,1,-0.016900076,0
caa,0.892187732,0.103530577,0.004281691,1,1.112093958,1,-0.112093958,0
cab,0.996085085,0.003889315,2.56E-05,1,1.003940514,1,-0.003940514,0
cac,0.989505697,0.010386058,0.000108246,1,1.010602549,1,-0.010602549,0
cad,0.347267322,0.493606218,0.15912646,2,1.811859138,2,0.188140862,0
cae,0.987883701,0.011982179,0.00013412,1,1.012250419,1,-0.012250419,0
caf,0.718194785,0.257285595,0.024519619,1,1.306324834,2,0.693675166,1
cag,0.987700457,0.012162377,0.000137166,1,1.012436709,1,-0.012436709,0
cah,0.133120371,0.476757908,0.390121721,2,2.25700135,3,0.74299865,1
cak,0.998557219,0.001436581,6.20E-06,1,1.001448981,1,-0.001448981,0
cal,0.779389504,0.205258818,0.015351678,1,1.235962173,1,-0.235962173,0
cam,0.819540678,0.16985864,0.010600682,1,1.191060004,1,-0.191060004,0
can,0.966020643,0.033329501,0.000649855,1,1.034629212,1,-0.034629212,0
cao,0.726065751,0.250733378,0.023200871,1,1.29713512,1,-0.29713512,0
cap,0.872227695,0.122032471,0.005739834,1,1.13351214,1,-0.13351214,0
caq,0.89361276,0.10220184,0.004185401,1,1.110572641,1,-0.110572641,0
car,0.976219847,0.023407084,0.000373069,1,1.024153222,1,-0.024153222,0
cas,0.924618743,0.073036386,0.00234487,1,1.077726127,1,-0.077726127,0
cat,0.99999946,5.40E-07,1.84E-10,1,1.00000054,1,-5.40212E-07,0
cav,0.809221047,0.179046911,0.011732041,1,1.202510994,1,-0.202510994,0
cax,0.929943923,0.067978504,0.002077574,1,1.072133651,1,-0.072133651,0
cay,0.419535024,0.462985239,0.117479737,2,1.697944713,2,0.302055287,0
caz,0.381943237,0.480284335,0.137772427,2,1.75582919,3,1.24417081,1
cbb,0.820119112,0.169341831,0.010539058,1,1.190419946,1,-0.190419946,0
cbc,0.894859326,0.101038657,0.004102017,1,1.109242691,1,-0.109242691,0
cbd,0.617802474,0.336729214,0.045468313,1,1.427665839,2,0.572334161,1
cbg,0.860468526,0.132835827,0.006695647,1,1.14622712,1,-0.14622712,0
cbi,0.93587386,0.062329338,0.001796802,1,1.065922941,1,-0.065922941,0
cbj,0.997999856,0.001990322,9.82E-06,1,1.002009966,1,-0.002009966,0
cbk,0.997709577,0.002278523,1.19E-05,1,1.002302323,1,-0.002302323,0
cbl,0.932740712,0.065316358,0.00194293,1,1.069202218,1,-0.069202218,0
cbn,0.877764002,0.116921188,0.00531481,1,1.127550808,1,-0.127550808,0
cbo,0.835786659,0.155272307,0.008941034,1,1.173154376,2,0.826845624,1
cbr,0.943045065,0.055473789,0.001481146,1,1.058436081,1,-0.058436081,0
cbs,0.924465265,0.073181949,0.002352786,1,1.077887521,1,-0.077887521,0
cbt,0.854268726,0.138502348,0.007228926,1,1.1529602,1,-0.1529602,0
cbu,0.937923598,0.060372501,0.001703901,1,1.063780303,1,-0.063780303,0
cbv,0.799787515,0.18739263,0.012819855,1,1.21303234,1,-0.21303234,0
ccc,0.08729092,0.425925812,0.486783268,3,2.399492348,2,-0.399492348,-1
ccd,0.042896217,0.328839518,0.628264265,3,2.585368048,2,-0.585368048,-1
cce,0.997790024,0.002198664,1.13E-05,1,1.002221288,1,-0.002221288,0
ccg,0.994484324,0.005473637,4.20E-05,1,1.005557715,1,-0.005557715,0
cch,0.995856966,0.004115258,2.78E-05,1,1.00417081,1,-0.00417081,0
ccj,0.945767036,0.052864738,0.001368226,1,1.05560119,2,0.94439881,1
ccl,0.006240779,0.127805547,0.865953674,3,2.859712896,1,-1.859712896,-2
ccm,0.629448235,0.327940465,0.042611299,1,1.413163064,2,0.586836936,1
cco,0.975593512,0.024018163,0.000388325,1,1.024794813,1,-0.024794813,0
ccp,0.999997146,2.85E-06,1.54E-09,1,1.000002856,1,-2.85571E-06,0
ccr,0.003061315,0.085386166,0.911552519,3,2.908491204,3,0.091508796,0
cda,0.976447149,0.02318526,0.00036759,1,1.023920441,1,-0.023920441,0
cde,0.960759526,0.038425049,0.000815425,1,1.040055899,1,-0.040055899,0
cdf,0.99308811,0.006853449,5.84E-05,1,1.006970332,1,-0.006970332,0
cdh,0.998572704,0.001421189,6.11E-06,1,1.001433403,1,-0.001433403,0
cdi,0.998931682,0.001064245,4.07E-06,1,1.001072391,1,-0.001072391,0
cdj,0.999180171,0.00081701,2.82E-06,1,1.000822648,1,-0.000822648,0
cdm,0.998221113,0.001770564,8.32E-06,1,1.001787211,1,-0.001787211,0
cdn,0.963113623,0.036146904,0.000739473,1,1.03762585,1,-0.03762585,0
cdr,0.997286607,0.00269825,1.51E-05,1,1.002728536,1,-0.002728536,0
cdy,0.674883422,0.29253969,0.032576887,1,1.357693465,1,-0.357693465,0
cdz,0.601055164,0.349149618,0.049795218,1,1.448740054,1,-0.448740054,0
cea,0.003991473,0.099478062,0.896530464,3,2.892538991,3,0.107461009,0
ceb,0.999999684,3.16E-07,9.34E-11,1,1.000000316,1,-3.16401E-07,0
ceg,0.88655058,0.108776662,0.004672757,1,1.118122177,1,-0.118122177,0
cen,0.650174988,0.312004365,0.037820647,1,1.387645658,1,-0.387645658,0
ces,0.999992847,7.15E-06,5.02E-09,1,1.000007158,1,-7.15761E-06,0
cet,0.489210207,0.424460984,0.08632881,1,1.597118603,2,0.402881397,1
cfa,0.990481517,0.009424838,9.36E-05,1,1.009612129,1,-0.009612129,0
cfd,0.966848212,0.032526593,0.000625195,1,1.033776983,1,-0.033776983,0
cfg,0.960033741,0.039126813,0.000839446,1,1.040805705,1,-0.040805705,0
cfm,0.999403889,0.000594295,1.82E-06,1,1.000597926,1,-0.000597926,0
cga,0.962278504,0.036955423,0.000766073,1,1.038487568,1,-0.038487568,0
cgc,0.990115724,0.009785245,9.90E-05,1,1.009983307,1,-0.009983307,0
cgg,0.998938298,0.001057664,4.04E-06,1,1.001065739,1,-0.001065739,0
cgk,0.998735002,0.001259841,5.16E-06,1,1.001270154,1,-0.001270154,0
cha,0.980219302,0.01949943,0.000281268,1,1.020061966,1,-0.020061966,0
chc,0.350858595,0.492356499,0.156784906,2,1.805926311,3,1.194073689,1
chd,0.943245947,0.05528137,0.001472682,1,1.058226735,1,-0.058226735,0
che,0.999649345,0.000349778,8.77E-07,1,1.000351533,1,-0.000351533,0
chf,0.908380735,0.088371054,0.003248211,1,1.094867476,1,-0.094867476,0
chg,0.012540734,0.185293524,0.802165743,3,2.789625009,3,0.210374991,0
chh,0.006562839,0.13138675,0.862050411,3,2.855487572,2,-0.855487572,-1
chj,0.989734034,0.010161203,0.000104763,1,1.010370729,1,-0.010370729,0
chl,0.135958728,0.47893835,0.385102921,2,2.249144193,2,-0.249144193,0
chn,0.2091455,0.510360117,0.280494383,2,2.071348882,2,-0.071348882,0
cho,0.816120682,0.172910414,0.010968904,1,1.194848222,1,-0.194848222,0
chp,0.995338373,0.004628692,3.29E-05,1,1.004694562,1,-0.004694562,0
chq,0.984294741,0.015507155,0.000198105,1,1.015903364,1,-0.015903364,0
chr,0.675353966,0.292164276,0.032481757,1,1.357127791,1,-0.357127791,0
cht,0.020366462,0.235714483,0.743919055,3,2.723552593,3,0.276447407,0
chv,0.997654769,0.002332925,1.23E-05,1,1.002357538,1,-0.002357538,0
chw,0.999587014,0.000411889,1.10E-06,1,1.000414083,1,-0.000414083,0
chx,0.978844429,0.020843856,0.000311716,1,1.021467287,1,-0.021467287,0
chy,0.722205464,0.253952268,0.023842268,1,1.301636805,1,-0.301636805,0
chz,0.976742903,0.022896589,0.000360508,1,1.023617606,1,-0.023617606,0
cia,0.995173091,0.00479227,3.46E-05,1,1.004861548,1,-0.004861548,0
cib,0.994945068,0.005017896,3.70E-05,1,1.005091968,1,-0.005091968,0
cic,0.618940403,0.335875845,0.045183751,1,1.426243348,2,0.573756652,1
cid,0.018895933,0.227352859,0.753751208,3,2.734855276,3,0.265144724,0
cie,0.968930686,0.030504481,0.000564832,1,1.031634146,1,-0.031634146,0
cih,0.895839667,0.100123336,0.004036996,1,1.108197329,1,-0.108197329,0
cik,0.881580138,0.113388786,0.005031076,1,1.123450939,1,-0.123450939,0
cim,0.999999979,2.14E-08,3.21E-12,1,1.000000021,1,-2.13732E-08,0
cin,0.702733959,0.270028731,0.027237311,1,1.324503352,1,-0.324503352,0
cip,0.160069809,0.494096093,0.345834098,2,2.185764289,3,0.814235711,1
cir,0.760821083,0.221301714,0.017877203,1,1.25705612,1,-0.25705612,0
ciw,0.775829006,0.208351626,0.015819368,1,1.239990362,1,-0.239990362,0
ciy,0.058077447,0.370358993,0.57156356,3,2.513486112,2,-0.513486112,-1
cja,0.995046645,0.004917393,3.60E-05,1,1.004989317,1,-0.004989317,0
cje,0.970217836,0.02925342,0.000528744,1,1.030310907,1,-0.030310907,0
cjh,0.277005791,0.510850055,0.212144154,2,1.935138363,3,1.064861637,1
cji,0.972328562,0.027199828,0.000471609,1,1.028143047,1,-0.028143047,0
cjk,0.999998041,1.96E-06,9.48E-10,1,1.00000196,1,-1.95963E-06,0
cjm,0.990874487,0.009037535,8.80E-05,1,1.009213491,1,-0.009213491,0
cjn,0.801570465,0.185819247,0.012610288,1,1.211039823,1,-0.211039823,0
cjo,0.979654273,0.020052089,0.000293638,1,1.020639366,1,-0.020639366,0
cjp,0.952341788,0.046546936,0.001111277,1,1.048769489,1,-0.048769489,0
cjs,0.833943564,0.156934476,0.00912196,1,1.175178395,1,-0.175178395,0
cjv,0.999333417,0.000664466,2.12E-06,1,1.000668701,1,-0.000668701,0
ckb,0.999831999,0.000167677,3.24E-07,1,1.000168324,1,-0.000168324,0
ckh,0.9988126,0.00118268,4.72E-06,1,1.00119212,1,-0.00119212,0
ckl,0.995054646,0.004909477,3.59E-05,1,1.004981232,1,-0.004981232,0
cko,0.999798737,0.00020085,4.13E-07,1,1.000201675,1,-0.000201675,0
ckq,0.933458181,0.064632791,0.001909028,1,1.068450847,1,-0.068450847,0
ckr,0.963172308,0.036090074,0.000737618,1,1.03756531,1,-0.03756531,0
ckt,0.740124081,0.238924872,0.020951047,1,1.280826966,1,-0.280826966,0
cku,0.618648056,0.336095198,0.045256746,1,1.42660869,2,0.57339131,1
ckv,0.07483341,0.405249261,0.51991733,3,2.44508392,2,-0.44508392,-1
ckx,0.970053664,0.029413041,0.000533295,1,1.03047963,1,-0.03047963,0
cky,0.969533966,0.029918233,0.000547801,1,1.031013835,1,-0.031013835,0
cla,0.99991153,8.83E-05,1.37E-07,1,1.000088606,1,-8.86065E-05,0
clc,0.691539877,0.279146825,0.029313298,1,1.337773421,1,-0.337773421,0
cld,0.983181544,0.016598712,0.000219744,1,1.0170382,1,-0.0170382,0
cle,0.969324773,0.030121543,0.000553684,1,1.031228911,1,-0.031228911,0
clh,0.958311033,0.040791373,0.000897594,1,1.042586561,1,-0.042586561,0
cli,0.976976262,0.022668781,0.000354958,1,1.023378696,1,-0.023378696,0
clk,0.997686309,0.002301619,1.21E-05,1,1.002325763,1,-0.002325763,0
cll,0.987561597,0.012298912,0.000139491,1,1.012577894,1,-0.012577894,0
clm,0.167605217,0.497738368,0.334656414,2,2.167051197,3,0.832948803,1
clo,0.861074899,0.132280519,0.006644583,1,1.145569684,2,0.854430316,1
clw,0.574198971,0.368499605,0.057301423,1,1.483102452,2,0.516897548,1
cly,0.923850937,0.073764473,0.002384591,1,1.078533654,1,-0.078533654,0
cma,0.993182291,0.00676043,5.73E-05,1,1.006874988,1,-0.006874988,0
cme,0.999390627,0.000607502,1.87E-06,1,1.000611244,1,-0.000611244,0
cmi,0.920541262,0.076899527,0.00255921,1,1.082017948,1,-0.082017948,0
cml,0.981565179,0.018182205,0.000252615,1,1.018687436,1,-0.018687436,0
cmo,0.998859254,0.001136283,4.46E-06,1,1.001145209,1,-0.001145209,0
cmr,0.969777957,0.029681072,0.000540971,1,1.030763014,1,-0.030763014,0
cna,0.890148529,0.105430189,0.004421283,1,1.114272754,1,-0.114272754,0
cnb,0.995164301,0.004800969,3.47E-05,1,1.00487043,1,-0.00487043,0
cnc,0.948242272,0.05048887,0.001268858,1,1.053026585,1,-0.053026585,0
cng,0.978171664,0.021501294,0.000327042,1,1.022155378,1,-0.022155378,0
cnh,0.999558211,0.000440586,1.20E-06,1,1.000442992,1,-0.000442992,0
cni,0.989991686,0.009907433,0.000100881,1,1.010109196,1,-0.010109196,0
cnk,0.999479363,0.00051913,1.51E-06,1,1.000522144,1,-0.000522144,0
cnl,0.960198858,0.038967186,0.000833956,1,1.040635098,1,-0.040635098,0
cns,0.995165379,0.004799902,3.47E-05,1,1.00486934,1,-0.00486934,0
cnt,0.969521093,0.029930745,0.000548162,1,1.031027069,1,-0.031027069,0
cnw,0.994036142,0.005916753,4.71E-05,1,1.006010963,1,-0.006010963,0
cob,0.556458482,0.380873943,0.062667575,1,1.506209093,3,1.493790907,2
coc,0.436825237,0.454151628,0.109023136,2,1.672197899,1,-0.672197899,-1
cod,0.92589961,0.071821121,0.00227927,1,1.07637966,2,0.92362034,1
coe,0.742816952,0.236647799,0.020535249,1,1.277718296,1,-0.277718296,0
cof,0.775838103,0.208343734,0.015818163,1,1.23998006,1,-0.23998006,0
cog,0.991867804,0.008057984,7.42E-05,1,1.008206409,2,0.991793591,1
coh,0.971729566,0.027782871,0.000487563,1,1.028757997,1,-0.028757997,0
coj,0.024727411,0.258294978,0.716977612,3,2.692250201,3,0.307749799,0
cok,0.942731918,0.055773701,0.001494381,1,1.058762463,1,-0.058762463,0
col,0.377631471,0.482087119,0.14028141,2,1.762649939,2,0.237350061,0
com,0.278620408,0.510628684,0.210750908,2,1.9321305,2,0.0678695,0
con,0.69788189,0.273992321,0.028125789,1,1.330243899,1,-0.330243899,0
coo,0.54610094,0.387939827,0.065959232,1,1.519858292,2,0.480141708,1
cop,0.004517042,0.106715696,0.888767262,3,2.88425022,3,0.11574978,0
coq,0.000635161,0.032852594,0.966512245,3,2.965877084,3,0.034122916,0
cor,0.885619445,0.109641638,0.004738918,1,1.119119473,3,1.880880527,2
cos,0.995612095,0.004357729,3.02E-05,1,1.004418081,1,-0.004418081,0
cot,0.892530329,0.103211224,0.004258447,1,1.111728118,1,-0.111728118,0
cou,0.997279928,0.002704876,1.52E-05,1,1.002735268,1,-0.002735268,0
cov,0.989498654,0.010392992,0.000108354,1,1.0106097,1,-0.0106097,0
cow,0.219939277,0.511893313,0.26816741,2,2.048228133,2,-0.048228133,0
cox,0.836800035,0.154357613,0.008842352,1,1.172042317,1,-0.172042317,0
coz,0.826897798,0.163271311,0.009830891,1,1.182933093,2,0.817066907,1
cpa,0.995413806,0.004554028,3.22E-05,1,1.004618361,1,-0.004618361,0
cpb,0.975053054,0.024545268,0.000401678,1,1.025348624,1,-0.025348624,0
cpc,0.962521258,0.036720441,0.000758302,1,1.038237044,1,-0.038237044,0
cpg,0.003321424,0.089517401,0.907161175,3,2.90383975,2,-0.90383975,-1
cpn,0.999042493,0.00095401,3.50E-06,1,1.000961004,1,-0.000961004,0
cps,0.99755987,0.00242711,1.30E-05,1,1.00245315,1,-0.00245315,0
cpu,0.988996745,0.010887103,0.000116152,1,1.011119407,1,-0.011119407,0
cpy,0.758834048,0.22300566,0.018160292,1,1.259326244,1,-0.259326244,0
cra,0.982797476,0.016975124,0.0002274,1,1.017429924,1,-0.017429924,0
crc,0.981072002,0.018665017,0.000262981,1,1.019190979,1,-0.019190979,0
crd,0.103526016,0.44781498,0.448659004,3,2.345132988,2,-0.345132988,-1
crf,0.00236142,0.07334044,0.92429814,3,2.921936721,3,0.078063279,0
crh,0.979758598,0.019950062,0.000291339,1,1.020532741,1,-0.020532741,0
cri,0.996321046,0.003655544,2.34E-05,1,1.003702364,1,-0.003702364,0
crj,0.926825543,0.070942094,0.002232363,1,1.07540682,1,-0.07540682,0
crk,0.995048847,0.004915214,3.59E-05,1,1.004987092,1,-0.004987092,0
crl,0.939446676,0.058917068,0.001636256,1,1.06218958,1,-0.06218958,0
crm,0.942603473,0.055896703,0.001499824,1,1.058896351,1,-0.058896351,0
crn,0.971996033,0.027523527,0.00048044,1,1.028484408,1,-0.028484408,0
cro,0.757434122,0.224204628,0.018361249,1,1.260927127,1,-0.260927127,0
crq,0.936859712,0.061388435,0.001751853,1,1.064892141,1,-0.064892141,0
crt,0.844089972,0.147761042,0.008148986,1,1.164059013,1,-0.164059013,0
crw,0.989268965,0.010619136,0.000111899,1,1.010842933,1,-0.010842933,0
crx,0.774405172,0.209586251,0.016008577,1,1.241603405,1,-0.241603405,0
cry,0.945355795,0.053259163,0.001385042,1,1.056029247,1,-0.056029247,0
crz,0.003323529,0.089550169,0.907126302,3,2.903802773,3,0.096197227,0
csa,0.897388926,0.098675835,0.003935239,1,1.106546314,2,0.893453686,1
csb,0.845703117,0.146297428,0.007999455,1,1.162296338,2,0.837703662,1
csh,0.99823245,0.001759301,8.25E-06,1,1.001775799,1,-0.001775799,0
csi,0.005967023,0.12468265,0.869350327,3,2.863383304,3,0.136616696,0
csk,0.99973859,0.000260821,5.88E-07,1,1.000261998,1,-0.000261998,0
csm,0.136810306,0.479574854,0.38361484,2,2.246804533,2,-0.246804533,0
cso,0.989930489,0.009967713,0.000101799,1,1.01017131,1,-0.01017131,0
css,0.003645864,0.094453864,0.901900272,3,2.898254407,3,0.101745593,0
cst,0.000264725,0.018745541,0.980989734,3,2.980725009,3,0.019274991,0
csw,0.944023504,0.054536379,0.001440117,1,1.057416613,1,-0.057416613,0
csy,0.99771072,0.002277388,1.19E-05,1,1.002301172,1,-0.002301172,0
csz,0.061231856,0.377671024,0.56109712,3,2.499865263,3,0.500134737,0
cta,0.969499026,0.029952192,0.000548782,1,1.031049756,1,-0.031049756,0
ctd,0.999736356,0.000263049,5.95E-07,1,1.000264239,1,-0.000264239,0
cte,0.934739374,0.063411488,0.001849138,1,1.067109764,1,-0.067109764,0
ctg,0.999999634,3.66E-07,1.13E-10,1,1.000000367,1,-3.66595E-07,0
ctl,0.965272399,0.034055123,0.000672478,1,1.035400078,1,-0.035400078,0
ctm,0.043546116,0.330871135,0.625582749,3,2.582036634,3,0.417963366,0
ctn,0.985490569,0.014333643,0.000175789,1,1.01468522,1,-0.01468522,0
cto,0.953387924,0.045539606,0.00107247,1,1.047684546,1,-0.047684546,0
ctp,0.990920025,0.008992646,8.73E-05,1,1.009167304,1,-0.009167304,0
