REGION,SOVEREIGNT,SOV_A3,ADMIN,ADM0_A3,ISO_A3,Minority_Ed_Policy
Asia,Afghanistan,AFG,Afghanistan,AFG,AFG,0
Africa,Angola,AGO,Angola,AGO,AGO,1
Europe,Albania,ALB,Albania,ALB,ALB,1
Asia,United Arab Emirates,ARE,United Arab Emirates,ARE,ARE,0
South America,Argentina,ARG,Argentina,ARG,ARG,1
Europe,Armenia,ARM,Armenia,ARM,ARM,1
Antarctica,Antarctica,ATA,Antarctica,ATA,ATA,0
NA,France,FR1,French Southern and Antarctic Lands,ATF,ATF,1
Australia,Australia,AU1,Australia,AUS,AUS,0
Europe,Austria,AUT,Austria,AUT,AUT,0
Europe,Azerbaijan,AZE,Azerbaijan,AZE,AZE,1
Africa,Burundi,BDI,Burundi,BDI,BDI,0
Europe,Belgium,BEL,Belgium,BEL,BEL,0
Africa,Benin,BEN,Benin,BEN,BEN,1
Africa,Burkina Faso,BFA,Burkina Faso,BFA,BFA,1
Asia,Bangladesh,BGD,Bangladesh,BGD,BGD,0
Europe,Bulgaria,BGR,Bulgaria,BGR,BGR,0
South America,The Bahamas,BHS,The Bahamas,BHS,BHS,0
Europe,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,BIH,BIH,1
Europe,Belarus,BLR,Belarus,BLR,BLR,1
South America,Belize,BLZ,Belize,BLZ,BLZ,0
South America,Bolivia,BOL,Bolivia,BOL,BOL,1
South America,Brazil,BRA,Brazil,BRA,BRA,1
Asia,Brunei,BRN,Brunei,BRN,BRN,0
Asia,Bhutan,BTN,Bhutan,BTN,BTN,0
Africa,Botswana,BWA,Botswana,BWA,BWA,0
Africa,Central African Republic,CAF,Central African Republic,CAF,CAF,0
North America,Canada,CAN,Canada,CAN,CAN,0
Europe,Switzerland,CHE,Switzerland,CHE,CHE,0
South America,Chile,CHL,Chile,CHL,CHL,1
Asia,China,CH1,China,CHN,CHN,1
Africa,Ivory Coast,CIV,Ivory Coast,CIV,CIV,0
Africa,Cameroon,CMR,Cameroon,CMR,CMR,0
