ID_ISO_A3	ID_ISO_A2	ID_FIPS	NAM_LABEL	NAME_PROP	NAME2	NAM_ANSI	ISO639P3code	ID	Name	Macroarea	Latitude	Longitude	glottocode	Countries	Family_ID	Language_level_ID	aes	category	classification	level	med	subclassification	Also spoken in	Alternate Names	Autonym	Classification	Country	Dialects	Language Development	Language Maps	Language Resources	Language Status	Language Use	Location	Other Comments	Population	Population Numeric	Typology	Writing	name
tda-NER	tda-ne	tda-NG	Tagdal	Tagdal	TAGDAL	Tagdal	tda	tagd1238	Tagdal	Africa	16.1908	6.83992	tagd1238	NE	song1307	NA	threatened	Spoken_L1_Language	song1307/nort2822/nort2823	language	phonology/text	(airr1238:1,azaw1238:1)tagd1238:1	NA	Igalan	NA	Mixed language, Songhay-Berber	Niger	Azawagh (Southern Tagdal), Air (Northern Tagdal). Tagdal lexicon is about 75%–80% Berber. Everyday vocabulary is about 50% Berber and 50% Songhay.	Literacy rate in L2: Low in French [fra], lower in Arabic [arb].	Niger	OLAC resources in and about Tagdal	6a (Vigorous).	Also use French [fra], Hausa [hau], Standard Arabic [arb], Tawallammat Tamajaq [ttq].	Agadez region: Arlit and Tchirozerene departments; Tahoua region: southeast; northwest Zinder and north central Maradi regions.	Nomadic. Muslim.	26,900 (2000).	26900	NA	Arabic script, Naskh variant [Arab]. Latin script [Latn]. Tifinagh (Berber) script [Tfng].	Tagdal
hat-HTI	hat-ht	hat-HA	Haitian	Haitian	HAITIAN	Haitian	hat	hait1244	Haitian	North America	18.795135	-72.136115	hait1244	DO;HT	indo1319	NA	not endangered	Spoken_L1_Language	indo1319/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/nort3208/gall1280/oila1234/cent2283/macr1273/circ1240	language	long grammar	(fabl1238:1,plat1258:1)hait1244:1	{u'View other languages of Dominican Republic': {}}	Creole, Haitian, Kreyol, Kreyòl ayisyen, Western Caribbean Creole	Ayisyen, Kreyòl	Creole, French based	Haiti	Fablas, Plateau Haitian Creole. Linguistic influences from Wolof [wol], Fon [fon], and Éwé [ewe] of West Africa.	Newspapers. Radio. TV. Dictionary. Grammar. Texts. Bible: 1985.	Creole Languages of the Northern Caribbean	OLAC resources in and about Haitian Creole	1 (National). Statutory national language (1987, Constitution, Article 5 (1,2)).	Vigorous. Also use French [fra].	Widespread.	In 1961 granted legal and educational status in Haiti. A growing literature, including poetry. Lower social status than standard French [fra].	6,960,000 (2001). Total users in all countries: 7,712,760.	7712760	SVO; prepositions; noun head final, but articles after noun heads; definite and indefinite articles; 21 consonant and 10 vowel phonemes; non-tonal.	Latin script [Latn].	Haitian Creole
hwc-USA	hwc-us	hwc-US	Hawaii Creole English	Hawaii Creole English	HAWAII CREOLE ENGLISH	Hawai'i Creole English	hwc	hawa1247	Hawai'i Creole English	North America	19.6287	-155.437	hawa1247	US	indo1319	NA	not endangered	Spoken_L1_Language	indo1319/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/paci1280	language	grammar sketch	hawa1247:1	NA	HCE, Hawai’i Creole, Hawai’i Creole English, Hawaiian Creole, Hawaiian Creole English, Pidgin	NA	Creole, English based, Pacific	United States	None known. The basilect is barely intelligible with standard English (McKaughan and Forman 1981).	Literacy rate in L1: 66%–75%. Literacy rate in L2: 66%–75%. Taught in bush schools as an elective to native and nonnative children. Taught in primary schools. Radio. TV. Grammar. NT: 2000.	United States of America, Alaska and Hawaii	OLAC resources in and about Hawai’i Pidgin	5 (Developing).	Vigorous use by 100,000 to 200,000. Native speech of a large number of those born or brought up in Hawaii, regardless of racial origin. Continuum of speech from distinct creole to standard English [eng] of Hawaii. Different speakers control different spans along the continuum, with some only speaking creole. Some communication problems at university level. Courts, literature, personal letters, local commerce, and a few songs. All ages. Mixed attitudes. Accepted by many as a distinctive local language and important part of local culture; but looked down on by others. Used as L2 by Hawaiian [haw].	Hawaii; Florida: Orlando; Nevada: Las Vegas; west coast.	Some official acknowledgement of it in print, public discussion, and law (for example, Miranda rights may be read in the language). Christian, Buddhist, traditional religion.	1,000,000, all users. 600,000 (2012 J. Grimes). Another 100,000 on the United States mainland. 400,000.	1000000	NA	Latin script [Latn].	Hawai’i Pidgin
bah-BHS	bah-bs	bah-BF	Bahamas Creole English	Bahamas Creole English	BAHAMAS CREOLE ENGLISH	Bahamas Creole English	bah	baha1260	Bahamas Creole English	North America	25.032149	-77.390587	baha1260	BS	indo1319	NA	not endangered	Spoken_L1_Language	indo1319/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/guin1259/cari1284/east2759/gull1242/gull1243/baha1261	language	grammar sketch	baha1260:1	NA	Bahamian Creole English, Bahamian Dialect	NA	Creole, English based, Atlantic, Eastern, Northern	Bahamas	None known. Good comprehension of and reportedly very similar to Sea Island Creole [gul] and Afro-Seminole [afs] in the United States (Hancock 1980b). Major differences with Sea Island are in phonology, a few words, regional expressions, grammatical differences (verbal markers). There is a spectrum of varieties from standard American English usage to creole (Todd and Hancock 1986).	Dictionary.	Creole Languages of the Northern Caribbean	OLAC resources in and about Bahamas Creole English	6a (Vigorous). De facto language of national identity.	NA	NA	Christian.	309,000 (2014).	309000	NA	Latin script [Latn].	Bahamas Creole English
gcr-GUF	gcr-gf	gcr-FG	Guianese Creole French	Guianese Creole French	GUIANESE CREOLE FRENCH	Guianese Creole French	gcr	guia1246	Guianese Creole French	South America	4.94804	-52.7336	guia1246	BR;GF	indo1319	NA	not endangered	Spoken_L1_Language	indo1319/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/nort3208/gall1280/oila1234/cent2283/macr1273/circ1240/guya1252	language	long grammar	guia1246:1	NA	French Guianese Creole French, Guyanais, Guyane, Guyane Creole, Patois, Patwa	NA	Creole, French based	French Guiana	None known. All French creoles of the Caribbean are somewhat mutually inherently intelligible (Goodman 1964). Intelligibility of Saint Lucia Creole [acf] is 78%, of Karipuna Creole [kmv] (Brazil) is 77%.	Dictionary. Grammar.	French Guiana and Suriname	OLAC resources in and about Guianese Creole French	6a (Vigorous).	L1 for over 30% of the population in the capital. Most important rural language. Educated people speak it, but avoid it. Low status. Not taught in schools. Some decreolization taking place. Also use French [fra]. Used as L2 by Carib [car], Emerillon [eme], Wayampi [oym].	Widespread.	NA	50,000 (1977 SIL).	50000	NA	Latin script [Latn].	Guianese Creole French
jam-JAM	jam-jm	jam-JM	Jamaican Creole English	Jamaican Creole English	JAMAICAN CREOLE ENGLISH	Jamaican Creole English	jam	jama1262	Jamaican Creole English	North America	18.13	-77.2612	jama1262	DO;PA	indo1319	NA	shifting	Spoken_L1_Language	indo1319/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/guin1259/cari1284/west2854/jama1264	language	long grammar	(brit1243:1)jama1262:1	{u'View other languages of Panama': {}, u'View other languages of Costa Rica': {}}	Bongo Talk, Jamiekan, Limon Creole English, Patois, Patwa, Quashie Talk, Western Caribbean Creole	NA	Creole, English based, Atlantic, Western	Jamaica	None known. The basilect and standard English mutually inherently unintelligible (Voegelin and Voegelin 1977, LePage 1960, Adler 1977). May be partly intelligible to speakers of Cameroon Pidgin [wes] and Krio [kri] of Sierra Leone, spoken by descendants of Jamaicans repatriated between 1787 and 1860. Inherently intelligible to creole speakers in Panama and Costa Rica. Reportedly very similar to Belize Creole [bzj], similar to Grenada, Saint Vincent, different from Tobago, very different from Guyana, Barbados, Leeward and Windward islands.	Literacy rate in L2: High in English. Dictionary. Grammar. NT: 2012.	Costa Rica	OLAC resources in and about Jamaican Creole English	5 (Developing). De facto language of national identity.	Vigorous. Dominant language and gaining in prestige. Post-Creole continuum from distinct Creole to provincial English of town dwellers. Positive attitudes. Most consider that they speak standard English [eng]. Also use English [eng]. Used as L2 by Konchri Sain [jcs].	NA	There is a continuum of variation from basilectal Creole to acrolectal English of the educated. Linguistic influences from Akan [aka] languages in Ghana and Bantu languages (Hancock 1988).	2,670,000 (2001). Total users in all countries: 3,035,000.	3035000	NA	Latin script [Latn].	Jamaican Creole English
gyn-GUY	gyn-gy	gyn-GY	Guyanese Creole English	Guyanese Creole English	GUYANESE CREOLE ENGLISH	Guyanese Creole English	gyn	creo1235	Guyanese Creole English	South America	4.070915	-58.918172	creo1235	GY;SR	indo1319	NA	not endangered	Spoken_L1_Language	indo1319/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/guin1259/cari1284/east2759/barb1266/barb1267	language	grammar	creo1235:1	{u'View other languages of Suriname': {}}	Creolese, Guyanese Creole	NA	Creole, English based, Atlantic, Eastern, Southern	Guyana	Afro-Guyanese Creole, Rupununi, Indo-Guyanese Creole. Most similar to creoles of Saint Vincent and Tobago (Holbrook). Rupununi dialect may be a separate language. Rupununi claim they are not mutually inherently intelligible.	Literature. Radio. TV. Videos. Grammar. Texts.	Guyana	OLAC resources in and about Guyanese Creole English	5 (Developing). De facto language of national identity.	The first or second language of most, but it has no official status. Home. Neutral attitudes. Used as L2 by Macushi [mbc], Sarnami Hindustani [hns], Warao [wba].	Widespread. Possibly also in French Guiana.	There is a continuum of variation from basilectal Creole to acrolectal English of the educated.	650,000. 250,000 Blacks and 400,000 Hindustanis. Total users in all countries: 682,000.	682000	NA	Latin script [Latn].	Guyanese Creole English
mhp-IDN	mhp-id	mhp-ID	Balinese Malay	Malay, Balinese	MALAY, BALINESE	Malay, Balinese	mhp	bali1279	Balinese Malay	Papunesia	-8.355884	114.648391	bali1279	ID	aust1307	NA	threatened	Spoken_L1_Language	aust1307/mala1545/mala1536/nort3170/mala1538/nucl1733/indo1326	language	grammar sketch	bali1279:1	NA	NA	NA	Creole, Malay based	Indonesia	NA	NA	Indonesia, Java and Bali	OLAC resources in and about Malay, Balinese	6b (Threatened).	NA	Bali province: widespread on Bali and Nusa islands.	Balinese Malay arose as L1 in the Muslim community of Western Bali among immigrants from Southern Sulawesi (2007 S. Paauw).	25,000 (2000 census).	25000	NA	NA	Malay, Balinese
srn-SUR	srn-sr	srn-NS	Sranan	Sranan	SRANAN	Sranan	srn	sran1240	Sranan Tongo	South America	5.83	-55.33	sran1240	AW;NL;SR	indo1319	NA	not endangered	Spoken_L1_Language	indo1319/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/guin1259/suri1275/sran1241	language	long grammar	sran1240:1	NA	Surinaams, Suriname Creole English, Surinamese, “Taki-Taki” (pej.)	Sranan, Sranan Tongo	Creole, English based, Atlantic, Suriname	Suriname	None known. Reportedly similar to Ndyuka [njt], but with cultural differences. Reportedly many similarities to Krio [kri] of Sierra Leone.	Literacy rate in L1: 10%. Literacy rate in L2: 50%–75%. Literature. Dictionary. Texts. Bible: 1997–2011.	French Guiana and Suriname	OLAC resources in and about Sranan	3 (Wider communication). De facto national working language. Lingua franca of 80% of the country, including the Hindustanis, Javanese, Chinese, American Indians, and Bush Negroes.	All domains. All ages. Also use Dutch [nld]. Used as L2 by Arawak [arw], Aukan [djk], Carib [car], Dutch [nld], Kwinti [kww], Sarnami Hindustani [hns], Wayana [way].	Widespread.	Christian, traditional religion.	367,300 in Suriname, all users. 67,300 (2013). 300,000. Total users in all countries: 710,700 (as L1: 410,700; as L2: 300,000).	410700	NA	Latin script [Latn].	Sranan
srm-SUR	srm-sr	srm-NS	Saramaccan	Saramaccan	SARAMACCAN	Saramaccan	srm	sara1340	Saramaccan	South America	4.54729	-54.0238	sara1340	GF;SR	indo1319	NA	not endangered	Spoken_L1_Language	indo1319/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/guin1259/suri1275	language	grammar	(mata1310:1,sara1339:1)sara1340:1	{u'View other languages of French Guiana': {}}	NA	NA	Creole, English based	Suriname	Matawari (Matawai, Matoewari, Matuari). Possibly Portuguese [por] based rather than English [eng] (Hancock 1988). Linguistic influences from Koongo [kng] (Hancock 1988). Lexical similarity: 20% with African component.	Literacy rate in L2: 15%–25%. Saramaccan is being used for religious instruction in Moravian schools along the Suriname River. Literature. Dictionary. Grammar. NT: 1991–2009.	French Guiana and Suriname	OLAC resources in and about Saramaccan	5 (Developing).	All domains. All ages. Also use Dutch [nld]. Used as L2 by Kwinti [kww].	Brokopondo district: Brownsweg, Centrum, Klasskreek, and Kwakoegron, communes, small border area; Para district: Bigi Poika commune; Paramaribo district; Sipaliwini district: Boven Saramaccan and Boven Suriname communes.	A Bush Negro ethnic group with background similar to the Ndyuka. Traditional religion.	14,100 (2013). Total users in all countries: 17,100.	17100	Tonal, one tone per vowel.	Latin script [Latn].	Saramaccan
